StartTime,EndTime,AreaID,UnitName,PsrType,quantity,hourly_time
2021-12-31 23:00:00,2022-01-01 00:00:00,10Y1001A1001A65H,MAW,B18,1875,2021-12-31 23:00:00
2022-01-01 00:00:00,2022-01-01 01:00:00,10Y1001A1001A65H,MAW,B18,1904,2022-01-01 00:00:00
2022-01-01 01:00:00,2022-01-01 02:00:00,10Y1001A1001A65H,MAW,B18,1738,2022-01-01 01:00:00
2022-01-01 02:00:00,2022-01-01 03:00:00,10Y1001A1001A65H,MAW,B18,1436,2022-01-01 02:00:00
2022-01-01 03:00:00,2022-01-01 04:00:00,10Y1001A1001A65H,MAW,B18,1505,2022-01-01 03:00:00
2022-01-01 04:00:00,2022-01-01 05:00:00,10Y1001A1001A65H,MAW,B18,1391,2022-01-01 04:00:00
2022-01-01 05:00:00,2022-01-01 06:00:00,10Y1001A1001A65H,MAW,B18,1407,2022-01-01 05:00:00
2022-01-01 06:00:00,2022-01-01 07:00:00,10Y1001A1001A65H,MAW,B18,1098,2022-01-01 06:00:00
2022-01-01 07:00:00,2022-01-01 08:00:00,10Y1001A1001A65H,MAW,B18,734,2022-01-01 07:00:00
2022-01-01 08:00:00,2022-01-01 09:00:00,10Y1001A1001A65H,MAW,B18,703,2022-01-01 08:00:00
2022-01-01 09:00:00,2022-01-01 10:00:00,10Y1001A1001A65H,MAW,B18,610,2022-01-01 09:00:00
2022-01-01 10:00:00,2022-01-01 11:00:00,10Y1001A1001A65H,MAW,B18,653,2022-01-01 10:00:00
2022-01-01 11:00:00,2022-01-01 12:00:00,10Y1001A1001A65H,MAW,B18,714,2022-01-01 11:00:00
2022-01-01 12:00:00,2022-01-01 13:00:00,10Y1001A1001A65H,MAW,B18,763,2022-01-01 12:00:00
2022-01-01 13:00:00,2022-01-01 14:00:00,10Y1001A1001A65H,MAW,B18,893,2022-01-01 13:00:00
2022-01-01 14:00:00,2022-01-01 15:00:00,10Y1001A1001A65H,MAW,B18,1034,2022-01-01 14:00:00
2022-01-01 15:00:00,2022-01-01 16:00:00,10Y1001A1001A65H,MAW,B18,1102,2022-01-01 15:00:00
2022-01-01 16:00:00,2022-01-01 17:00:00,10Y1001A1001A65H,MAW,B18,1415,2022-01-01 16:00:00
2022-01-01 17:00:00,2022-01-01 18:00:00,10Y1001A1001A65H,MAW,B18,1748,2022-01-01 17:00:00
2022-01-01 18:00:00,2022-01-01 19:00:00,10Y1001A1001A65H,MAW,B18,1962,2022-01-01 18:00:00
2022-01-01 19:00:00,2022-01-01 20:00:00,10Y1001A1001A65H,MAW,B18,2075,2022-01-01 19:00:00
2022-01-01 20:00:00,2022-01-01 21:00:00,10Y1001A1001A65H,MAW,B18,2048,2022-01-01 20:00:00
2022-01-01 21:00:00,2022-01-01 22:00:00,10Y1001A1001A65H,MAW,B18,2056,2022-01-01 21:00:00
2022-01-01 22:00:00,2022-01-01 23:00:00,10Y1001A1001A65H,MAW,B18,1950,2022-01-01 22:00:00
2022-01-01 23:00:00,2022-01-02 00:00:00,10Y1001A1001A65H,MAW,B18,1838,2022-01-01 23:00:00
2022-01-02 00:00:00,2022-01-02 01:00:00,10Y1001A1001A65H,MAW,B18,1861,2022-01-02 00:00:00
2022-01-02 01:00:00,2022-01-02 02:00:00,10Y1001A1001A65H,MAW,B18,1853,2022-01-02 01:00:00
2022-01-02 02:00:00,2022-01-02 03:00:00,10Y1001A1001A65H,MAW,B18,1826,2022-01-02 02:00:00
2022-01-02 03:00:00,2022-01-02 04:00:00,10Y1001A1001A65H,MAW,B18,1831,2022-01-02 03:00:00
2022-01-02 04:00:00,2022-01-02 05:00:00,10Y1001A1001A65H,MAW,B18,1680,2022-01-02 04:00:00
2022-01-02 05:00:00,2022-01-02 06:00:00,10Y1001A1001A65H,MAW,B18,1660,2022-01-02 05:00:00
2022-01-02 06:00:00,2022-01-02 07:00:00,10Y1001A1001A65H,MAW,B18,1579,2022-01-02 06:00:00
2022-01-02 07:00:00,2022-01-02 08:00:00,10Y1001A1001A65H,MAW,B18,1534,2022-01-02 07:00:00
2022-01-02 08:00:00,2022-01-02 09:00:00,10Y1001A1001A65H,MAW,B18,1386,2022-01-02 08:00:00
2022-01-02 09:00:00,2022-01-02 10:00:00,10Y1001A1001A65H,MAW,B18,1197,2022-01-02 09:00:00
2022-01-02 10:00:00,2022-01-02 11:00:00,10Y1001A1001A65H,MAW,B18,1052,2022-01-02 10:00:00
2022-01-02 11:00:00,2022-01-02 12:00:00,10Y1001A1001A65H,MAW,B18,736,2022-01-02 11:00:00
2022-01-02 12:00:00,2022-01-02 13:00:00,10Y1001A1001A65H,MAW,B18,709,2022-01-02 12:00:00
2022-01-02 13:00:00,2022-01-02 14:00:00,10Y1001A1001A65H,MAW,B18,976,2022-01-02 13:00:00
2022-01-02 14:00:00,2022-01-02 15:00:00,10Y1001A1001A65H,MAW,B18,1289,2022-01-02 14:00:00
2022-01-02 15:00:00,2022-01-02 16:00:00,10Y1001A1001A65H,MAW,B18,1436,2022-01-02 15:00:00
2022-01-02 16:00:00,2022-01-02 17:00:00,10Y1001A1001A65H,MAW,B18,1747,2022-01-02 16:00:00
2022-01-02 17:00:00,2022-01-02 18:00:00,10Y1001A1001A65H,MAW,B18,1908,2022-01-02 17:00:00
2022-01-02 18:00:00,2022-01-02 19:00:00,10Y1001A1001A65H,MAW,B18,1997,2022-01-02 18:00:00
2022-01-02 19:00:00,2022-01-02 20:00:00,10Y1001A1001A65H,MAW,B18,1970,2022-01-02 19:00:00
2022-01-02 20:00:00,2022-01-02 21:00:00,10Y1001A1001A65H,MAW,B18,1839,2022-01-02 20:00:00
2022-01-02 21:00:00,2022-01-02 22:00:00,10Y1001A1001A65H,MAW,B18,1747,2022-01-02 21:00:00
