StartTime,EndTime,AreaID,UnitName,PsrType,quantity,hourly_time
2021-12-31 23:00:00,2022-01-01 00:00:00,10YHU-MAVIR----U,MAW,B16,0,2021-12-31 23:00:00
2022-01-01 00:00:00,2022-01-01 01:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-01 00:00:00
2022-01-01 01:00:00,2022-01-01 02:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-01 01:00:00
2022-01-01 02:00:00,2022-01-01 03:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-01 02:00:00
2022-01-01 03:00:00,2022-01-01 04:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-01 03:00:00
2022-01-01 04:00:00,2022-01-01 05:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-01 04:00:00
2022-01-01 05:00:00,2022-01-01 06:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-01 05:00:00
2022-01-01 06:00:00,2022-01-01 07:00:00,10YHU-MAVIR----U,MAW,B16,127,2022-01-01 06:00:00
2022-01-01 07:00:00,2022-01-01 08:00:00,10YHU-MAVIR----U,MAW,B16,1029,2022-01-01 07:00:00
2022-01-01 08:00:00,2022-01-01 09:00:00,10YHU-MAVIR----U,MAW,B16,2264,2022-01-01 08:00:00
2022-01-01 09:00:00,2022-01-01 10:00:00,10YHU-MAVIR----U,MAW,B16,2889,2022-01-01 09:00:00
2022-01-01 10:00:00,2022-01-01 11:00:00,10YHU-MAVIR----U,MAW,B16,2982,2022-01-01 10:00:00
2022-01-01 11:00:00,2022-01-01 12:00:00,10YHU-MAVIR----U,MAW,B16,2393,2022-01-01 11:00:00
2022-01-01 12:00:00,2022-01-01 13:00:00,10YHU-MAVIR----U,MAW,B16,1513,2022-01-01 12:00:00
2022-01-01 13:00:00,2022-01-01 14:00:00,10YHU-MAVIR----U,MAW,B16,746,2022-01-01 13:00:00
2022-01-01 14:00:00,2022-01-01 15:00:00,10YHU-MAVIR----U,MAW,B16,116,2022-01-01 14:00:00
2022-01-01 15:00:00,2022-01-01 16:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-01 15:00:00
2022-01-01 16:00:00,2022-01-01 17:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-01 16:00:00
2022-01-01 17:00:00,2022-01-01 18:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-01 17:00:00
2022-01-01 18:00:00,2022-01-01 19:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-01 18:00:00
2022-01-01 19:00:00,2022-01-01 20:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-01 19:00:00
2022-01-01 20:00:00,2022-01-01 21:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-01 20:00:00
2022-01-01 21:00:00,2022-01-01 22:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-01 21:00:00
2022-01-01 22:00:00,2022-01-01 23:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-01 22:00:00
2022-01-01 23:00:00,2022-01-02 00:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-01 23:00:00
2022-01-02 00:00:00,2022-01-02 01:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-02 00:00:00
2022-01-02 01:00:00,2022-01-02 02:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-02 01:00:00
2022-01-02 02:00:00,2022-01-02 03:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-02 02:00:00
2022-01-02 03:00:00,2022-01-02 04:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-02 03:00:00
2022-01-02 04:00:00,2022-01-02 05:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-02 04:00:00
2022-01-02 05:00:00,2022-01-02 06:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-02 05:00:00
2022-01-02 06:00:00,2022-01-02 07:00:00,10YHU-MAVIR----U,MAW,B16,122,2022-01-02 06:00:00
2022-01-02 07:00:00,2022-01-02 08:00:00,10YHU-MAVIR----U,MAW,B16,924,2022-01-02 07:00:00
2022-01-02 08:00:00,2022-01-02 09:00:00,10YHU-MAVIR----U,MAW,B16,2154,2022-01-02 08:00:00
2022-01-02 09:00:00,2022-01-02 10:00:00,10YHU-MAVIR----U,MAW,B16,2936,2022-01-02 09:00:00
2022-01-02 10:00:00,2022-01-02 11:00:00,10YHU-MAVIR----U,MAW,B16,3122,2022-01-02 10:00:00
2022-01-02 11:00:00,2022-01-02 12:00:00,10YHU-MAVIR----U,MAW,B16,2818,2022-01-02 11:00:00
2022-01-02 12:00:00,2022-01-02 13:00:00,10YHU-MAVIR----U,MAW,B16,1907,2022-01-02 12:00:00
2022-01-02 13:00:00,2022-01-02 14:00:00,10YHU-MAVIR----U,MAW,B16,871,2022-01-02 13:00:00
2022-01-02 14:00:00,2022-01-02 15:00:00,10YHU-MAVIR----U,MAW,B16,167,2022-01-02 14:00:00
2022-01-02 15:00:00,2022-01-02 16:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-02 15:00:00
2022-01-02 16:00:00,2022-01-02 17:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-02 16:00:00
2022-01-02 17:00:00,2022-01-02 18:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-02 17:00:00
2022-01-02 18:00:00,2022-01-02 19:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-02 18:00:00
2022-01-02 19:00:00,2022-01-02 20:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-02 19:00:00
2022-01-02 20:00:00,2022-01-02 21:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-02 20:00:00
2022-01-02 21:00:00,2022-01-02 22:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-02 21:00:00
2022-01-02 22:00:00,2022-01-02 23:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-02 22:00:00
2022-01-02 23:00:00,2022-01-03 00:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-02 23:00:00
2022-01-03 00:00:00,2022-01-03 01:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-03 00:00:00
2022-01-03 01:00:00,2022-01-03 02:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-03 01:00:00
2022-01-03 02:00:00,2022-01-03 03:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-03 02:00:00
2022-01-03 03:00:00,2022-01-03 04:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-03 03:00:00
2022-01-03 04:00:00,2022-01-03 05:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-03 04:00:00
2022-01-03 05:00:00,2022-01-03 06:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-03 05:00:00
2022-01-03 06:00:00,2022-01-03 07:00:00,10YHU-MAVIR----U,MAW,B16,49,2022-01-03 06:00:00
2022-01-03 07:00:00,2022-01-03 08:00:00,10YHU-MAVIR----U,MAW,B16,324,2022-01-03 07:00:00
2022-01-03 08:00:00,2022-01-03 09:00:00,10YHU-MAVIR----U,MAW,B16,428,2022-01-03 08:00:00
2022-01-03 09:00:00,2022-01-03 10:00:00,10YHU-MAVIR----U,MAW,B16,662,2022-01-03 09:00:00
2022-01-03 10:00:00,2022-01-03 11:00:00,10YHU-MAVIR----U,MAW,B16,994,2022-01-03 10:00:00
2022-01-03 11:00:00,2022-01-03 12:00:00,10YHU-MAVIR----U,MAW,B16,1167,2022-01-03 11:00:00
2022-01-03 12:00:00,2022-01-03 13:00:00,10YHU-MAVIR----U,MAW,B16,1269,2022-01-03 12:00:00
2022-01-03 13:00:00,2022-01-03 14:00:00,10YHU-MAVIR----U,MAW,B16,746,2022-01-03 13:00:00
2022-01-03 14:00:00,2022-01-03 15:00:00,10YHU-MAVIR----U,MAW,B16,107,2022-01-03 14:00:00
2022-01-03 15:00:00,2022-01-03 16:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-03 15:00:00
2022-01-03 16:00:00,2022-01-03 17:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-03 16:00:00
2022-01-03 17:00:00,2022-01-03 18:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-03 17:00:00
2022-01-03 18:00:00,2022-01-03 19:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-03 18:00:00
2022-01-03 19:00:00,2022-01-03 20:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-03 19:00:00
2022-01-03 20:00:00,2022-01-03 21:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-03 20:00:00
2022-01-03 21:00:00,2022-01-03 22:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-03 21:00:00
2022-01-03 22:00:00,2022-01-03 23:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-03 22:00:00
2022-01-03 23:00:00,2022-01-04 00:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-03 23:00:00
2022-01-04 00:00:00,2022-01-04 01:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-04 00:00:00
2022-01-04 01:00:00,2022-01-04 02:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-04 01:00:00
2022-01-04 02:00:00,2022-01-04 03:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-04 02:00:00
2022-01-04 03:00:00,2022-01-04 04:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-04 03:00:00
2022-01-04 04:00:00,2022-01-04 05:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-04 04:00:00
2022-01-04 05:00:00,2022-01-04 06:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-04 05:00:00
2022-01-04 06:00:00,2022-01-04 07:00:00,10YHU-MAVIR----U,MAW,B16,124,2022-01-04 06:00:00
2022-01-04 07:00:00,2022-01-04 08:00:00,10YHU-MAVIR----U,MAW,B16,749,2022-01-04 07:00:00
2022-01-04 08:00:00,2022-01-04 09:00:00,10YHU-MAVIR----U,MAW,B16,1345,2022-01-04 08:00:00
2022-01-04 09:00:00,2022-01-04 10:00:00,10YHU-MAVIR----U,MAW,B16,1591,2022-01-04 09:00:00
2022-01-04 10:00:00,2022-01-04 11:00:00,10YHU-MAVIR----U,MAW,B16,1524,2022-01-04 10:00:00
2022-01-04 11:00:00,2022-01-04 12:00:00,10YHU-MAVIR----U,MAW,B16,1110,2022-01-04 11:00:00
2022-01-04 12:00:00,2022-01-04 13:00:00,10YHU-MAVIR----U,MAW,B16,677,2022-01-04 12:00:00
2022-01-04 13:00:00,2022-01-04 14:00:00,10YHU-MAVIR----U,MAW,B16,339,2022-01-04 13:00:00
2022-01-04 14:00:00,2022-01-04 15:00:00,10YHU-MAVIR----U,MAW,B16,67,2022-01-04 14:00:00
2022-01-04 15:00:00,2022-01-04 16:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-04 15:00:00
2022-01-04 16:00:00,2022-01-04 17:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-04 16:00:00
2022-01-04 17:00:00,2022-01-04 18:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-04 17:00:00
2022-01-04 18:00:00,2022-01-04 19:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-04 18:00:00
2022-01-04 19:00:00,2022-01-04 20:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-04 19:00:00
2022-01-04 20:00:00,2022-01-04 21:00:00,10YHU-MAVIR----U,MAW,B16,0,2022-01-04 20:00:00
