StartTime,EndTime,AreaID,UnitName,PsrType,quantity,hourly_time
2021-12-31 23:00:00,2022-01-01 00:00:00,10YPL-AREA-----S,MAW,B16,0,2021-12-31 23:00:00
2022-01-01 00:00:00,2022-01-01 01:00:00,10YPL-AREA-----S,MAW,B16,0,2022-01-01 00:00:00
2022-01-01 01:00:00,2022-01-01 02:00:00,10YPL-AREA-----S,MAW,B16,0,2022-01-01 01:00:00
2022-01-01 02:00:00,2022-01-01 03:00:00,10YPL-AREA-----S,MAW,B16,0,2022-01-01 02:00:00
2022-01-01 03:00:00,2022-01-01 04:00:00,10YPL-AREA-----S,MAW,B16,0,2022-01-01 03:00:00
2022-01-01 04:00:00,2022-01-01 05:00:00,10YPL-AREA-----S,MAW,B16,0,2022-01-01 04:00:00
2022-01-01 05:00:00,2022-01-01 06:00:00,10YPL-AREA-----S,MAW,B16,0,2022-01-01 05:00:00
2022-01-01 06:00:00,2022-01-01 07:00:00,10YPL-AREA-----S,MAW,B16,21,2022-01-01 06:00:00
2022-01-01 07:00:00,2022-01-01 08:00:00,10YPL-AREA-----S,MAW,B16,114,2022-01-01 07:00:00
2022-01-01 08:00:00,2022-01-01 09:00:00,10YPL-AREA-----S,MAW,B16,219,2022-01-01 08:00:00
2022-01-01 09:00:00,2022-01-01 10:00:00,10YPL-AREA-----S,MAW,B16,300,2022-01-01 09:00:00
2022-01-01 10:00:00,2022-01-01 11:00:00,10YPL-AREA-----S,MAW,B16,310,2022-01-01 10:00:00
2022-01-01 11:00:00,2022-01-01 12:00:00,10YPL-AREA-----S,MAW,B16,249,2022-01-01 11:00:00
2022-01-01 12:00:00,2022-01-01 13:00:00,10YPL-AREA-----S,MAW,B16,162,2022-01-01 12:00:00
2022-01-01 13:00:00,2022-01-01 14:00:00,10YPL-AREA-----S,MAW,B16,51,2022-01-01 13:00:00
2022-01-01 14:00:00,2022-01-01 15:00:00,10YPL-AREA-----S,MAW,B16,1,2022-01-01 14:00:00
2022-01-01 15:00:00,2022-01-01 16:00:00,10YPL-AREA-----S,MAW,B16,0,2022-01-01 15:00:00
2022-01-01 16:00:00,2022-01-01 17:00:00,10YPL-AREA-----S,MAW,B16,0,2022-01-01 16:00:00
2022-01-01 17:00:00,2022-01-01 18:00:00,10YPL-AREA-----S,MAW,B16,0,2022-01-01 17:00:00
2022-01-01 18:00:00,2022-01-01 19:00:00,10YPL-AREA-----S,MAW,B16,0,2022-01-01 18:00:00
2022-01-01 19:00:00,2022-01-01 20:00:00,10YPL-AREA-----S,MAW,B16,0,2022-01-01 19:00:00
2022-01-01 20:00:00,2022-01-01 21:00:00,10YPL-AREA-----S,MAW,B16,0,2022-01-01 20:00:00
2022-01-01 21:00:00,2022-01-01 22:00:00,10YPL-AREA-----S,MAW,B16,0,2022-01-01 21:00:00
2022-01-01 22:00:00,2022-01-01 23:00:00,10YPL-AREA-----S,MAW,B16,0,2022-01-01 22:00:00
2022-01-01 23:00:00,2022-01-02 00:00:00,10YPL-AREA-----S,MAW,B16,0,2022-01-01 23:00:00
2022-01-02 00:00:00,2022-01-02 01:00:00,10YPL-AREA-----S,MAW,B16,0,2022-01-02 00:00:00
2022-01-02 01:00:00,2022-01-02 02:00:00,10YPL-AREA-----S,MAW,B16,0,2022-01-02 01:00:00
2022-01-02 02:00:00,2022-01-02 03:00:00,10YPL-AREA-----S,MAW,B16,0,2022-01-02 02:00:00
2022-01-02 03:00:00,2022-01-02 04:00:00,10YPL-AREA-----S,MAW,B16,0,2022-01-02 03:00:00
2022-01-02 04:00:00,2022-01-02 05:00:00,10YPL-AREA-----S,MAW,B16,0,2022-01-02 04:00:00
2022-01-02 05:00:00,2022-01-02 06:00:00,10YPL-AREA-----S,MAW,B16,0,2022-01-02 05:00:00
2022-01-02 06:00:00,2022-01-02 07:00:00,10YPL-AREA-----S,MAW,B16,62,2022-01-02 06:00:00
2022-01-02 07:00:00,2022-01-02 08:00:00,10YPL-AREA-----S,MAW,B16,258,2022-01-02 07:00:00
