StartTime,EndTime,AreaID,UnitName,PsrType,quantity,hourly_time
2021-12-31 23:00:00,2022-01-01 00:00:00,10YSE-1--------K,MAW,B12,7015,2021-12-31 23:00:00
2022-01-01 00:00:00,2022-01-01 01:00:00,10YSE-1--------K,MAW,B12,7086,2022-01-01 00:00:00
2022-01-01 01:00:00,2022-01-01 02:00:00,10YSE-1--------K,MAW,B12,7088,2022-01-01 01:00:00
2022-01-01 02:00:00,2022-01-01 03:00:00,10YSE-1--------K,MAW,B12,6746,2022-01-01 02:00:00
2022-01-01 03:00:00,2022-01-01 04:00:00,10YSE-1--------K,MAW,B12,7173,2022-01-01 03:00:00
2022-01-01 04:00:00,2022-01-01 05:00:00,10YSE-1--------K,MAW,B12,7497,2022-01-01 04:00:00
2022-01-01 05:00:00,2022-01-01 06:00:00,10YSE-1--------K,MAW,B12,7973,2022-01-01 05:00:00
2022-01-01 06:00:00,2022-01-01 07:00:00,10YSE-1--------K,MAW,B12,8820,2022-01-01 06:00:00
2022-01-01 07:00:00,2022-01-01 08:00:00,10YSE-1--------K,MAW,B12,9060,2022-01-01 07:00:00
2022-01-01 08:00:00,2022-01-01 09:00:00,10YSE-1--------K,MAW,B12,9220,2022-01-01 08:00:00
2022-01-01 09:00:00,2022-01-01 10:00:00,10YSE-1--------K,MAW,B12,9253,2022-01-01 09:00:00
2022-01-01 10:00:00,2022-01-01 11:00:00,10YSE-1--------K,MAW,B12,9218,2022-01-01 10:00:00
2022-01-01 11:00:00,2022-01-01 12:00:00,10YSE-1--------K,MAW,B12,9238,2022-01-01 11:00:00
2022-01-01 12:00:00,2022-01-01 13:00:00,10YSE-1--------K,MAW,B12,9409,2022-01-01 12:00:00
2022-01-01 13:00:00,2022-01-01 14:00:00,10YSE-1--------K,MAW,B12,9813,2022-01-01 13:00:00
2022-01-01 14:00:00,2022-01-01 15:00:00,10YSE-1--------K,MAW,B12,10094,2022-01-01 14:00:00
2022-01-01 15:00:00,2022-01-01 16:00:00,10YSE-1--------K,MAW,B12,10115,2022-01-01 15:00:00
2022-01-01 16:00:00,2022-01-01 17:00:00,10YSE-1--------K,MAW,B12,9945,2022-01-01 16:00:00
2022-01-01 17:00:00,2022-01-01 18:00:00,10YSE-1--------K,MAW,B12,9775,2022-01-01 17:00:00
2022-01-01 18:00:00,2022-01-01 19:00:00,10YSE-1--------K,MAW,B12,9553,2022-01-01 18:00:00
2022-01-01 19:00:00,2022-01-01 20:00:00,10YSE-1--------K,MAW,B12,9212,2022-01-01 19:00:00
2022-01-01 20:00:00,2022-01-01 21:00:00,10YSE-1--------K,MAW,B12,8742,2022-01-01 20:00:00
2022-01-01 21:00:00,2022-01-01 22:00:00,10YSE-1--------K,MAW,B12,8332,2022-01-01 21:00:00
2022-01-01 22:00:00,2022-01-01 23:00:00,10YSE-1--------K,MAW,B12,7065,2022-01-01 22:00:00
2022-01-01 23:00:00,2022-01-02 00:00:00,10YSE-1--------K,MAW,B12,6519,2022-01-01 23:00:00
2022-01-02 00:00:00,2022-01-02 01:00:00,10YSE-1--------K,MAW,B12,6271,2022-01-02 00:00:00
2022-01-02 01:00:00,2022-01-02 02:00:00,10YSE-1--------K,MAW,B12,5353,2022-01-02 01:00:00
2022-01-02 02:00:00,2022-01-02 03:00:00,10YSE-1--------K,MAW,B12,5056,2022-01-02 02:00:00
2022-01-02 03:00:00,2022-01-02 04:00:00,10YSE-1--------K,MAW,B12,5120,2022-01-02 03:00:00
2022-01-02 04:00:00,2022-01-02 05:00:00,10YSE-1--------K,MAW,B12,5448,2022-01-02 04:00:00
2022-01-02 05:00:00,2022-01-02 06:00:00,10YSE-1--------K,MAW,B12,6597,2022-01-02 05:00:00
2022-01-02 06:00:00,2022-01-02 07:00:00,10YSE-1--------K,MAW,B12,7221,2022-01-02 06:00:00
2022-01-02 07:00:00,2022-01-02 08:00:00,10YSE-1--------K,MAW,B12,8378,2022-01-02 07:00:00
2022-01-02 08:00:00,2022-01-02 09:00:00,10YSE-1--------K,MAW,B12,8845,2022-01-02 08:00:00
2022-01-02 09:00:00,2022-01-02 10:00:00,10YSE-1--------K,MAW,B12,9036,2022-01-02 09:00:00
2022-01-02 10:00:00,2022-01-02 11:00:00,10YSE-1--------K,MAW,B12,9129,2022-01-02 10:00:00
2022-01-02 11:00:00,2022-01-02 12:00:00,10YSE-1--------K,MAW,B12,9257,2022-01-02 11:00:00
2022-01-02 12:00:00,2022-01-02 13:00:00,10YSE-1--------K,MAW,B12,9462,2022-01-02 12:00:00
2022-01-02 13:00:00,2022-01-02 14:00:00,10YSE-1--------K,MAW,B12,9711,2022-01-02 13:00:00
2022-01-02 14:00:00,2022-01-02 15:00:00,10YSE-1--------K,MAW,B12,9776,2022-01-02 14:00:00
2022-01-02 15:00:00,2022-01-02 16:00:00,10YSE-1--------K,MAW,B12,9904,2022-01-02 15:00:00
2022-01-02 16:00:00,2022-01-02 17:00:00,10YSE-1--------K,MAW,B12,9770,2022-01-02 16:00:00
2022-01-02 17:00:00,2022-01-02 18:00:00,10YSE-1--------K,MAW,B12,9569,2022-01-02 17:00:00
2022-01-02 18:00:00,2022-01-02 19:00:00,10YSE-1--------K,MAW,B12,9394,2022-01-02 18:00:00
2022-01-02 19:00:00,2022-01-02 20:00:00,10YSE-1--------K,MAW,B12,8605,2022-01-02 19:00:00
2022-01-02 20:00:00,2022-01-02 21:00:00,10YSE-1--------K,MAW,B12,8364,2022-01-02 20:00:00
2022-01-02 21:00:00,2022-01-02 22:00:00,10YSE-1--------K,MAW,B12,6719,2022-01-02 21:00:00
2022-01-02 22:00:00,2022-01-02 23:00:00,10YSE-1--------K,MAW,B12,5453,2022-01-02 22:00:00
2022-01-02 23:00:00,2022-01-03 00:00:00,10YSE-1--------K,MAW,B12,5267,2022-01-02 23:00:00
2022-01-03 00:00:00,2022-01-03 01:00:00,10YSE-1--------K,MAW,B12,5225,2022-01-03 00:00:00
2022-01-03 01:00:00,2022-01-03 02:00:00,10YSE-1--------K,MAW,B12,5245,2022-01-03 01:00:00
2022-01-03 02:00:00,2022-01-03 03:00:00,10YSE-1--------K,MAW,B12,5781,2022-01-03 02:00:00
2022-01-03 03:00:00,2022-01-03 04:00:00,10YSE-1--------K,MAW,B12,6262,2022-01-03 03:00:00
2022-01-03 04:00:00,2022-01-03 05:00:00,10YSE-1--------K,MAW,B12,8233,2022-01-03 04:00:00
2022-01-03 05:00:00,2022-01-03 06:00:00,10YSE-1--------K,MAW,B12,10015,2022-01-03 05:00:00
2022-01-03 06:00:00,2022-01-03 07:00:00,10YSE-1--------K,MAW,B12,10350,2022-01-03 06:00:00
2022-01-03 07:00:00,2022-01-03 08:00:00,10YSE-1--------K,MAW,B12,10419,2022-01-03 07:00:00
2022-01-03 08:00:00,2022-01-03 09:00:00,10YSE-1--------K,MAW,B12,10307,2022-01-03 08:00:00
2022-01-03 09:00:00,2022-01-03 10:00:00,10YSE-1--------K,MAW,B12,10379,2022-01-03 09:00:00
2022-01-03 10:00:00,2022-01-03 11:00:00,10YSE-1--------K,MAW,B12,10430,2022-01-03 10:00:00
2022-01-03 11:00:00,2022-01-03 12:00:00,10YSE-1--------K,MAW,B12,10465,2022-01-03 11:00:00
2022-01-03 12:00:00,2022-01-03 13:00:00,10YSE-1--------K,MAW,B12,10428,2022-01-03 12:00:00
2022-01-03 13:00:00,2022-01-03 14:00:00,10YSE-1--------K,MAW,B12,10435,2022-01-03 13:00:00
2022-01-03 14:00:00,2022-01-03 15:00:00,10YSE-1--------K,MAW,B12,10364,2022-01-03 14:00:00
2022-01-03 15:00:00,2022-01-03 16:00:00,10YSE-1--------K,MAW,B12,10460,2022-01-03 15:00:00
2022-01-03 16:00:00,2022-01-03 17:00:00,10YSE-1--------K,MAW,B12,10192,2022-01-03 16:00:00
2022-01-03 17:00:00,2022-01-03 18:00:00,10YSE-1--------K,MAW,B12,10308,2022-01-03 17:00:00
2022-01-03 18:00:00,2022-01-03 19:00:00,10YSE-1--------K,MAW,B12,9739,2022-01-03 18:00:00
2022-01-03 19:00:00,2022-01-03 20:00:00,10YSE-1--------K,MAW,B12,9123,2022-01-03 19:00:00
2022-01-03 20:00:00,2022-01-03 21:00:00,10YSE-1--------K,MAW,B12,8740,2022-01-03 20:00:00
2022-01-03 21:00:00,2022-01-03 22:00:00,10YSE-1--------K,MAW,B12,8188,2022-01-03 21:00:00
2022-01-03 22:00:00,2022-01-03 23:00:00,10YSE-1--------K,MAW,B12,7080,2022-01-03 22:00:00
2022-01-03 23:00:00,2022-01-04 00:00:00,10YSE-1--------K,MAW,B12,6790,2022-01-03 23:00:00
2022-01-04 00:00:00,2022-01-04 01:00:00,10YSE-1--------K,MAW,B12,6626,2022-01-04 00:00:00
2022-01-04 01:00:00,2022-01-04 02:00:00,10YSE-1--------K,MAW,B12,6691,2022-01-04 01:00:00
2022-01-04 02:00:00,2022-01-04 03:00:00,10YSE-1--------K,MAW,B12,7315,2022-01-04 02:00:00
2022-01-04 03:00:00,2022-01-04 04:00:00,10YSE-1--------K,MAW,B12,7912,2022-01-04 03:00:00
2022-01-04 04:00:00,2022-01-04 05:00:00,10YSE-1--------K,MAW,B12,8552,2022-01-04 04:00:00
2022-01-04 05:00:00,2022-01-04 06:00:00,10YSE-1--------K,MAW,B12,8910,2022-01-04 05:00:00
2022-01-04 06:00:00,2022-01-04 07:00:00,10YSE-1--------K,MAW,B12,9864,2022-01-04 06:00:00
2022-01-04 07:00:00,2022-01-04 08:00:00,10YSE-1--------K,MAW,B12,9870,2022-01-04 07:00:00
2022-01-04 08:00:00,2022-01-04 09:00:00,10YSE-1--------K,MAW,B12,10082,2022-01-04 08:00:00
2022-01-04 09:00:00,2022-01-04 10:00:00,10YSE-1--------K,MAW,B12,10266,2022-01-04 09:00:00
2022-01-04 10:00:00,2022-01-04 11:00:00,10YSE-1--------K,MAW,B12,10871,2022-01-04 10:00:00
2022-01-04 11:00:00,2022-01-04 12:00:00,10YSE-1--------K,MAW,B12,10844,2022-01-04 11:00:00
2022-01-04 12:00:00,2022-01-04 13:00:00,10YSE-1--------K,MAW,B12,10855,2022-01-04 12:00:00
2022-01-04 13:00:00,2022-01-04 14:00:00,10YSE-1--------K,MAW,B12,10869,2022-01-04 13:00:00
2022-01-04 14:00:00,2022-01-04 15:00:00,10YSE-1--------K,MAW,B12,10835,2022-01-04 14:00:00
2022-01-04 15:00:00,2022-01-04 16:00:00,10YSE-1--------K,MAW,B12,10793,2022-01-04 15:00:00
2022-01-04 16:00:00,2022-01-04 17:00:00,10YSE-1--------K,MAW,B12,10757,2022-01-04 16:00:00
2022-01-04 17:00:00,2022-01-04 18:00:00,10YSE-1--------K,MAW,B12,10940,2022-01-04 17:00:00
2022-01-04 18:00:00,2022-01-04 19:00:00,10YSE-1--------K,MAW,B12,10753,2022-01-04 18:00:00
2022-01-04 19:00:00,2022-01-04 20:00:00,10YSE-1--------K,MAW,B12,10580,2022-01-04 19:00:00
2022-01-04 20:00:00,2022-01-04 21:00:00,10YSE-1--------K,MAW,B12,10631,2022-01-04 20:00:00
2022-01-04 21:00:00,2022-01-04 22:00:00,10YSE-1--------K,MAW,B12,10440,2022-01-04 21:00:00
2022-01-04 22:00:00,2022-01-04 23:00:00,10YSE-1--------K,MAW,B12,10452,2022-01-04 22:00:00
2022-01-04 23:00:00,2022-01-05 00:00:00,10YSE-1--------K,MAW,B12,10279,2022-01-04 23:00:00
2022-01-05 00:00:00,2022-01-05 01:00:00,10YSE-1--------K,MAW,B12,10250,2022-01-05 00:00:00
2022-01-05 01:00:00,2022-01-05 02:00:00,10YSE-1--------K,MAW,B12,10208,2022-01-05 01:00:00
2022-01-05 02:00:00,2022-01-05 03:00:00,10YSE-1--------K,MAW,B12,10281,2022-01-05 02:00:00
2022-01-05 03:00:00,2022-01-05 04:00:00,10YSE-1--------K,MAW,B12,10396,2022-01-05 03:00:00
2022-01-05 04:00:00,2022-01-05 05:00:00,10YSE-1--------K,MAW,B12,11015,2022-01-05 04:00:00
2022-01-05 05:00:00,2022-01-05 06:00:00,10YSE-1--------K,MAW,B12,11430,2022-01-05 05:00:00
2022-01-05 06:00:00,2022-01-05 07:00:00,10YSE-1--------K,MAW,B12,11526,2022-01-05 06:00:00
2022-01-05 07:00:00,2022-01-05 08:00:00,10YSE-1--------K,MAW,B12,11458,2022-01-05 07:00:00
2022-01-05 08:00:00,2022-01-05 09:00:00,10YSE-1--------K,MAW,B12,11300,2022-01-05 08:00:00
2022-01-05 09:00:00,2022-01-05 10:00:00,10YSE-1--------K,MAW,B12,11181,2022-01-05 09:00:00
2022-01-05 10:00:00,2022-01-05 11:00:00,10YSE-1--------K,MAW,B12,11035,2022-01-05 10:00:00
2022-01-05 11:00:00,2022-01-05 12:00:00,10YSE-1--------K,MAW,B12,10942,2022-01-05 11:00:00
2022-01-05 12:00:00,2022-01-05 13:00:00,10YSE-1--------K,MAW,B12,10792,2022-01-05 12:00:00
2022-01-05 13:00:00,2022-01-05 14:00:00,10YSE-1--------K,MAW,B12,10839,2022-01-05 13:00:00
2022-01-05 14:00:00,2022-01-05 15:00:00,10YSE-1--------K,MAW,B12,10862,2022-01-05 14:00:00
2022-01-05 15:00:00,2022-01-05 16:00:00,10YSE-1--------K,MAW,B12,10800,2022-01-05 15:00:00
2022-01-05 16:00:00,2022-01-05 17:00:00,10YSE-1--------K,MAW,B12,10543,2022-01-05 16:00:00
2022-01-05 17:00:00,2022-01-05 18:00:00,10YSE-1--------K,MAW,B12,10311,2022-01-05 17:00:00
2022-01-05 18:00:00,2022-01-05 19:00:00,10YSE-1--------K,MAW,B12,9991,2022-01-05 18:00:00
2022-01-05 19:00:00,2022-01-05 20:00:00,10YSE-1--------K,MAW,B12,9493,2022-01-05 19:00:00
2022-01-05 20:00:00,2022-01-05 21:00:00,10YSE-1--------K,MAW,B12,8973,2022-01-05 20:00:00
2022-01-05 21:00:00,2022-01-05 22:00:00,10YSE-1--------K,MAW,B12,8847,2022-01-05 21:00:00
2022-01-05 22:00:00,2022-01-05 23:00:00,10YSE-1--------K,MAW,B12,9055,2022-01-05 22:00:00
2022-01-05 23:00:00,2022-01-06 00:00:00,10YSE-1--------K,MAW,B12,9057,2022-01-05 23:00:00
2022-01-06 00:00:00,2022-01-06 01:00:00,10YSE-1--------K,MAW,B12,9072,2022-01-06 00:00:00
2022-01-06 01:00:00,2022-01-06 02:00:00,10YSE-1--------K,MAW,B12,9062,2022-01-06 01:00:00
2022-01-06 02:00:00,2022-01-06 03:00:00,10YSE-1--------K,MAW,B12,9033,2022-01-06 02:00:00
2022-01-06 03:00:00,2022-01-06 04:00:00,10YSE-1--------K,MAW,B12,9145,2022-01-06 03:00:00
2022-01-06 04:00:00,2022-01-06 05:00:00,10YSE-1--------K,MAW,B12,9579,2022-01-06 04:00:00
