StartTime,EndTime,AreaID,UnitName,PsrType,quantity,hourly_time
2021-12-31 23:00:00,2022-01-01 00:00:00,10YES-REE------0,MAW,B12,1347,2021-12-31 23:00:00
2022-01-01 00:00:00,2022-01-01 01:00:00,10YES-REE------0,MAW,B12,746,2022-01-01 00:00:00
2022-01-01 01:00:00,2022-01-01 02:00:00,10YES-REE------0,MAW,B12,733,2022-01-01 01:00:00
2022-01-01 02:00:00,2022-01-01 03:00:00,10YES-REE------0,MAW,B12,755,2022-01-01 02:00:00
2022-01-01 03:00:00,2022-01-01 04:00:00,10YES-REE------0,MAW,B12,719,2022-01-01 03:00:00
2022-01-01 04:00:00,2022-01-01 05:00:00,10YES-REE------0,MAW,B12,611,2022-01-01 04:00:00
2022-01-01 05:00:00,2022-01-01 06:00:00,10YES-REE------0,MAW,B12,779,2022-01-01 05:00:00
2022-01-01 06:00:00,2022-01-01 07:00:00,10YES-REE------0,MAW,B12,768,2022-01-01 06:00:00
2022-01-01 07:00:00,2022-01-01 08:00:00,10YES-REE------0,MAW,B12,729,2022-01-01 07:00:00
2022-01-01 08:00:00,2022-01-01 09:00:00,10YES-REE------0,MAW,B12,747,2022-01-01 08:00:00
2022-01-01 09:00:00,2022-01-01 10:00:00,10YES-REE------0,MAW,B12,740,2022-01-01 09:00:00
2022-01-01 10:00:00,2022-01-01 11:00:00,10YES-REE------0,MAW,B12,705,2022-01-01 10:00:00
2022-01-01 11:00:00,2022-01-01 12:00:00,10YES-REE------0,MAW,B12,747,2022-01-01 11:00:00
2022-01-01 12:00:00,2022-01-01 13:00:00,10YES-REE------0,MAW,B12,867,2022-01-01 12:00:00
2022-01-01 13:00:00,2022-01-01 14:00:00,10YES-REE------0,MAW,B12,958,2022-01-01 13:00:00
2022-01-01 14:00:00,2022-01-01 15:00:00,10YES-REE------0,MAW,B12,1404,2022-01-01 14:00:00
2022-01-01 15:00:00,2022-01-01 16:00:00,10YES-REE------0,MAW,B12,1932,2022-01-01 15:00:00
2022-01-01 16:00:00,2022-01-01 17:00:00,10YES-REE------0,MAW,B12,2778,2022-01-01 16:00:00
2022-01-01 17:00:00,2022-01-01 18:00:00,10YES-REE------0,MAW,B12,2863,2022-01-01 17:00:00
2022-01-01 18:00:00,2022-01-01 19:00:00,10YES-REE------0,MAW,B12,2980,2022-01-01 18:00:00
2022-01-01 19:00:00,2022-01-01 20:00:00,10YES-REE------0,MAW,B12,2931,2022-01-01 19:00:00
2022-01-01 20:00:00,2022-01-01 21:00:00,10YES-REE------0,MAW,B12,2620,2022-01-01 20:00:00
2022-01-01 21:00:00,2022-01-01 22:00:00,10YES-REE------0,MAW,B12,2559,2022-01-01 21:00:00
2022-01-01 22:00:00,2022-01-01 23:00:00,10YES-REE------0,MAW,B12,1385,2022-01-01 22:00:00
2022-01-01 23:00:00,2022-01-02 00:00:00,10YES-REE------0,MAW,B12,1001,2022-01-01 23:00:00
2022-01-02 00:00:00,2022-01-02 01:00:00,10YES-REE------0,MAW,B12,685,2022-01-02 00:00:00
2022-01-02 01:00:00,2022-01-02 02:00:00,10YES-REE------0,MAW,B12,565,2022-01-02 01:00:00
2022-01-02 02:00:00,2022-01-02 03:00:00,10YES-REE------0,MAW,B12,550,2022-01-02 02:00:00
2022-01-02 03:00:00,2022-01-02 04:00:00,10YES-REE------0,MAW,B12,558,2022-01-02 03:00:00
2022-01-02 04:00:00,2022-01-02 05:00:00,10YES-REE------0,MAW,B12,664,2022-01-02 04:00:00
2022-01-02 05:00:00,2022-01-02 06:00:00,10YES-REE------0,MAW,B12,696,2022-01-02 05:00:00
2022-01-02 06:00:00,2022-01-02 07:00:00,10YES-REE------0,MAW,B12,820,2022-01-02 06:00:00
2022-01-02 07:00:00,2022-01-02 08:00:00,10YES-REE------0,MAW,B12,961,2022-01-02 07:00:00
2022-01-02 08:00:00,2022-01-02 09:00:00,10YES-REE------0,MAW,B12,825,2022-01-02 08:00:00
2022-01-02 09:00:00,2022-01-02 10:00:00,10YES-REE------0,MAW,B12,837,2022-01-02 09:00:00
2022-01-02 10:00:00,2022-01-02 11:00:00,10YES-REE------0,MAW,B12,726,2022-01-02 10:00:00
2022-01-02 11:00:00,2022-01-02 12:00:00,10YES-REE------0,MAW,B12,763,2022-01-02 11:00:00
2022-01-02 12:00:00,2022-01-02 13:00:00,10YES-REE------0,MAW,B12,828,2022-01-02 12:00:00
2022-01-02 13:00:00,2022-01-02 14:00:00,10YES-REE------0,MAW,B12,797,2022-01-02 13:00:00
2022-01-02 14:00:00,2022-01-02 15:00:00,10YES-REE------0,MAW,B12,1156,2022-01-02 14:00:00
2022-01-02 15:00:00,2022-01-02 16:00:00,10YES-REE------0,MAW,B12,2053,2022-01-02 15:00:00
2022-01-02 16:00:00,2022-01-02 17:00:00,10YES-REE------0,MAW,B12,2939,2022-01-02 16:00:00
2022-01-02 17:00:00,2022-01-02 18:00:00,10YES-REE------0,MAW,B12,4279,2022-01-02 17:00:00
2022-01-02 18:00:00,2022-01-02 19:00:00,10YES-REE------0,MAW,B12,4740,2022-01-02 18:00:00
2022-01-02 19:00:00,2022-01-02 20:00:00,10YES-REE------0,MAW,B12,4475,2022-01-02 19:00:00
2022-01-02 20:00:00,2022-01-02 21:00:00,10YES-REE------0,MAW,B12,3788,2022-01-02 20:00:00
2022-01-02 21:00:00,2022-01-02 22:00:00,10YES-REE------0,MAW,B12,2901,2022-01-02 21:00:00
2022-01-02 22:00:00,2022-01-02 23:00:00,10YES-REE------0,MAW,B12,1145,2022-01-02 22:00:00
2022-01-02 23:00:00,2022-01-03 00:00:00,10YES-REE------0,MAW,B12,864,2022-01-02 23:00:00
2022-01-03 00:00:00,2022-01-03 01:00:00,10YES-REE------0,MAW,B12,775,2022-01-03 00:00:00
2022-01-03 01:00:00,2022-01-03 02:00:00,10YES-REE------0,MAW,B12,734,2022-01-03 01:00:00
2022-01-03 02:00:00,2022-01-03 03:00:00,10YES-REE------0,MAW,B12,804,2022-01-03 02:00:00
2022-01-03 03:00:00,2022-01-03 04:00:00,10YES-REE------0,MAW,B12,814,2022-01-03 03:00:00
2022-01-03 04:00:00,2022-01-03 05:00:00,10YES-REE------0,MAW,B12,1233,2022-01-03 04:00:00
2022-01-03 05:00:00,2022-01-03 06:00:00,10YES-REE------0,MAW,B12,1575,2022-01-03 05:00:00
2022-01-03 06:00:00,2022-01-03 07:00:00,10YES-REE------0,MAW,B12,1927,2022-01-03 06:00:00
2022-01-03 07:00:00,2022-01-03 08:00:00,10YES-REE------0,MAW,B12,2399,2022-01-03 07:00:00
2022-01-03 08:00:00,2022-01-03 09:00:00,10YES-REE------0,MAW,B12,1782,2022-01-03 08:00:00
2022-01-03 09:00:00,2022-01-03 10:00:00,10YES-REE------0,MAW,B12,1339,2022-01-03 09:00:00
2022-01-03 10:00:00,2022-01-03 11:00:00,10YES-REE------0,MAW,B12,1021,2022-01-03 10:00:00
2022-01-03 11:00:00,2022-01-03 12:00:00,10YES-REE------0,MAW,B12,973,2022-01-03 11:00:00
