StartTime,EndTime,AreaID,UnitName,Load,hourly_time
2021-12-31 23:00:00,2022-01-01 00:00:00,10YNL----------L,MAW,10326,2021-12-31 23:00:00
2022-01-01 00:00:00,2022-01-01 01:00:00,10YNL----------L,MAW,40706,2022-01-01 00:00:00
2022-01-01 01:00:00,2022-01-01 02:00:00,10YNL----------L,MAW,39465,2022-01-01 01:00:00
2022-01-01 02:00:00,2022-01-01 03:00:00,10YNL----------L,MAW,38923,2022-01-01 02:00:00
2022-01-01 03:00:00,2022-01-01 04:00:00,10YNL----------L,MAW,38211,2022-01-01 03:00:00
2022-01-01 04:00:00,2022-01-01 05:00:00,10YNL----------L,MAW,38146,2022-01-01 04:00:00
2022-01-01 05:00:00,2022-01-01 06:00:00,10YNL----------L,MAW,38956,2022-01-01 05:00:00
2022-01-01 06:00:00,2022-01-01 07:00:00,10YNL----------L,MAW,39968,2022-01-01 06:00:00
2022-01-01 07:00:00,2022-01-01 08:00:00,10YNL----------L,MAW,40808,2022-01-01 07:00:00
2022-01-01 08:00:00,2022-01-01 09:00:00,10YNL----------L,MAW,41742,2022-01-01 08:00:00
2022-01-01 09:00:00,2022-01-01 10:00:00,10YNL----------L,MAW,42796,2022-01-01 09:00:00
2022-01-01 10:00:00,2022-01-01 11:00:00,10YNL----------L,MAW,42494,2022-01-01 10:00:00
2022-01-01 11:00:00,2022-01-01 12:00:00,10YNL----------L,MAW,42294,2022-01-01 11:00:00
2022-01-01 12:00:00,2022-01-01 13:00:00,10YNL----------L,MAW,43153,2022-01-01 12:00:00
2022-01-01 13:00:00,2022-01-01 14:00:00,10YNL----------L,MAW,44379,2022-01-01 13:00:00
2022-01-01 14:00:00,2022-01-01 15:00:00,10YNL----------L,MAW,45865,2022-01-01 14:00:00
2022-01-01 15:00:00,2022-01-01 16:00:00,10YNL----------L,MAW,48406,2022-01-01 15:00:00
2022-01-01 16:00:00,2022-01-01 17:00:00,10YNL----------L,MAW,52021,2022-01-01 16:00:00
2022-01-01 17:00:00,2022-01-01 18:00:00,10YNL----------L,MAW,51429,2022-01-01 17:00:00
2022-01-01 18:00:00,2022-01-01 19:00:00,10YNL----------L,MAW,49999,2022-01-01 18:00:00
2022-01-01 19:00:00,2022-01-01 20:00:00,10YNL----------L,MAW,47940,2022-01-01 19:00:00
2022-01-01 20:00:00,2022-01-01 21:00:00,10YNL----------L,MAW,46052,2022-01-01 20:00:00
2022-01-01 21:00:00,2022-01-01 22:00:00,10YNL----------L,MAW,44113,2022-01-01 21:00:00
2022-01-01 22:00:00,2022-01-01 23:00:00,10YNL----------L,MAW,42275,2022-01-01 22:00:00
2022-01-01 23:00:00,2022-01-02 00:00:00,10YNL----------L,MAW,41053,2022-01-01 23:00:00
2022-01-02 00:00:00,2022-01-02 01:00:00,10YNL----------L,MAW,39562,2022-01-02 00:00:00
2022-01-02 01:00:00,2022-01-02 02:00:00,10YNL----------L,MAW,38687,2022-01-02 01:00:00
2022-01-02 02:00:00,2022-01-02 03:00:00,10YNL----------L,MAW,38236,2022-01-02 02:00:00
2022-01-02 03:00:00,2022-01-02 04:00:00,10YNL----------L,MAW,38283,2022-01-02 03:00:00
2022-01-02 04:00:00,2022-01-02 05:00:00,10YNL----------L,MAW,38979,2022-01-02 04:00:00
2022-01-02 05:00:00,2022-01-02 06:00:00,10YNL----------L,MAW,40264,2022-01-02 05:00:00
2022-01-02 06:00:00,2022-01-02 07:00:00,10YNL----------L,MAW,42237,2022-01-02 06:00:00
2022-01-02 07:00:00,2022-01-02 08:00:00,10YNL----------L,MAW,44702,2022-01-02 07:00:00
2022-01-02 08:00:00,2022-01-02 09:00:00,10YNL----------L,MAW,46562,2022-01-02 08:00:00
2022-01-02 09:00:00,2022-01-02 10:00:00,10YNL----------L,MAW,46441,2022-01-02 09:00:00
2022-01-02 10:00:00,2022-01-02 11:00:00,10YNL----------L,MAW,47998,2022-01-02 10:00:00
2022-01-02 11:00:00,2022-01-02 12:00:00,10YNL----------L,MAW,48585,2022-01-02 11:00:00
2022-01-02 12:00:00,2022-01-02 13:00:00,10YNL----------L,MAW,47660,2022-01-02 12:00:00
2022-01-02 13:00:00,2022-01-02 14:00:00,10YNL----------L,MAW,47919,2022-01-02 13:00:00
2022-01-02 14:00:00,2022-01-02 15:00:00,10YNL----------L,MAW,48988,2022-01-02 14:00:00
2022-01-02 15:00:00,2022-01-02 16:00:00,10YNL----------L,MAW,51783,2022-01-02 15:00:00
2022-01-02 16:00:00,2022-01-02 17:00:00,10YNL----------L,MAW,55587,2022-01-02 16:00:00
2022-01-02 17:00:00,2022-01-02 18:00:00,10YNL----------L,MAW,54121,2022-01-02 17:00:00
2022-01-02 18:00:00,2022-01-02 19:00:00,10YNL----------L,MAW,52577,2022-01-02 18:00:00
2022-01-02 19:00:00,2022-01-02 20:00:00,10YNL----------L,MAW,50705,2022-01-02 19:00:00
2022-01-02 20:00:00,2022-01-02 21:00:00,10YNL----------L,MAW,48614,2022-01-02 20:00:00
