Date,Hour,DEgen,DEload,DKgen,DKload,HUgen,HUload,ITgen,ITload,NEgen,NEload,POgen,POload,SEgen,SEload,SPgen,SPload,HU_surplus,IT_surplus,PO_surplus,SP_surplus,DE_surplus,DK_surplus,SE_surplus,NE_surplus,label,spring,summer,winter,day_of_week,is_weekend
2022-01-01,0,157373.0,165125.0,3605.0,3218.0,1376.0,16457.0,5745.0,19756.0,12768.0,40706.0,4491.0,13935.0,11107.0,15331.0,10827.0,19530.0,-15081.0,-14011.0,-9444.0,-8703.0,-7752.0,387.0,-4224.0,-27938.0,3,0,0,1,5,1
2022-01-01,1,151747.0,160415.0,3309.0,3126.0,1526.0,15426.0,6228.0,18685.0,11131.0,39465.0,4436.0,13579.0,11036.0,15270.0,11140.0,18383.0,-13900.0,-12457.0,-9143.0,-7243.0,-8668.0,183.0,-4234.0,-28334.0,3,0,0,1,5,1
2022-01-01,2,147938.0,158035.0,3043.0,3080.0,1560.0,14781.0,6407.0,18124.0,11324.0,38923.0,4568.0,13397.0,10509.0,15150.0,11361.0,17680.0,-13221.0,-11717.0,-8829.0,-6319.0,-10097.0,-37.0,-4641.0,-27599.0,3,0,0,1,5,1
2022-01-01,3,141816.0,157016.0,2852.0,3044.0,1287.0,14630.0,5760.0,18400.0,11290.0,38211.0,4559.0,13364.0,10770.0,15387.0,11247.0,17396.0,-13343.0,-12640.0,-8805.0,-6149.0,-15200.0,-192.0,-4617.0,-26921.0,3,0,0,1,5,1
2022-01-01,4,131970.0,154552.0,2724.0,3130.0,1309.0,14688.0,5501.0,19223.0,11093.0,38146.0,4374.0,13449.0,10852.0,15737.0,10868.0,17544.0,-13379.0,-13722.0,-9075.0,-6676.0,-22582.0,-406.0,-4885.0,-27053.0,3,0,0,1,5,1
2022-01-01,5,129345.0,154275.0,2579.0,3238.0,1450.0,14960.0,6226.0,19738.0,11028.0,38956.0,4303.0,13444.0,11108.0,16054.0,10935.0,17866.0,-13510.0,-13512.0,-9141.0,-6931.0,-24930.0,-659.0,-4946.0,-27928.0,3,0,0,1,5,1
2022-01-01,6,122836.0,157356.0,2293.0,3378.0,1627.0,15034.0,7356.0,20289.0,10421.0,39968.0,4370.0,13527.0,11757.0,16455.0,11101.0,17806.0,-13407.0,-12933.0,-9157.0,-6705.0,-34520.0,-1085.0,-4698.0,-29547.0,3,0,0,1,5,1
2022-01-01,7,117508.0,163000.0,1806.0,3537.0,2447.0,15259.0,8637.0,21469.0,10565.0,40808.0,4540.0,14202.0,11774.0,16943.0,13339.0,18533.0,-12812.0,-12832.0,-9662.0,-5194.0,-45492.0,-1731.0,-5169.0,-30243.0,3,0,0,1,5,1
2022-01-01,8,119089.0,171858.0,1655.0,3714.0,3597.0,15551.0,9132.0,22735.0,11355.0,41742.0,4402.0,14851.0,11668.0,17476.0,16179.0,20018.0,-11954.0,-13603.0,-10449.0,-3839.0,-52769.0,-2059.0,-5808.0,-30387.0,3,0,0,1,5,1
2022-01-01,9,120971.0,179829.0,1601.0,3818.0,4205.0,16045.0,9821.0,23636.0,13283.0,42796.0,4266.0,15643.0,11407.0,17657.0,17616.0,20989.0,-11840.0,-13815.0,-11377.0,-3373.0,-58858.0,-2217.0,-6250.0,-29513.0,3,0,0,1,5,1
2022-01-01,10,123192.0,188335.0,1832.0,3893.0,4331.0,16500.0,10404.0,24182.0,14039.0,42494.0,4014.0,16235.0,11124.0,17521.0,17581.0,21514.0,-12169.0,-13778.0,-12221.0,-3933.0,-65143.0,-2061.0,-6397.0,-28455.0,3,0,0,1,5,1
2022-01-01,11,122314.0,188528.0,1904.0,3943.0,3845.0,16966.0,10367.0,23270.0,14848.0,42294.0,3571.0,16712.0,11016.0,17542.0,17181.0,22105.0,-13121.0,-12903.0,-13141.0,-4924.0,-66214.0,-2039.0,-6526.0,-27446.0,3,0,0,1,5,1
2022-01-01,12,117152.0,184922.0,2116.0,3915.0,3026.0,17195.0,9877.0,22755.0,15071.0,43153.0,3103.0,16874.0,11134.0,17783.0,16585.0,22384.0,-14169.0,-12878.0,-13771.0,-5799.0,-67770.0,-1799.0,-6649.0,-28082.0,3,0,0,1,5,1
2022-01-01,13,108819.0,182733.0,2498.0,3988.0,2129.0,17488.0,7776.0,22881.0,15058.0,44379.0,2656.0,17032.0,11616.0,18417.0,16437.0,21106.0,-15359.0,-15105.0,-14376.0,-4669.0,-73914.0,-1490.0,-6801.0,-29321.0,3,0,0,1,5,1
2022-01-01,14,99704.0,183467.0,3200.0,4213.0,1517.0,18052.0,7108.0,23818.0,14996.0,45865.0,2368.0,17715.0,12137.0,18620.0,14798.0,20617.0,-16535.0,-16710.0,-15347.0,-5819.0,-83763.0,-1013.0,-6483.0,-30869.0,3,0,0,1,5,1
2022-01-01,15,107104.0,195571.0,3771.0,4473.0,1419.0,19157.0,8807.0,26742.0,14620.0,48406.0,2427.0,17887.0,12574.0,18778.0,11888.0,21096.0,-17738.0,-17935.0,-15460.0,-9208.0,-88467.0,-702.0,-6204.0,-33786.0,3,0,0,1,5,1
2022-01-01,16,117785.0,207259.0,4339.0,4407.0,1427.0,19169.0,9000.0,27672.0,15599.0,52021.0,2133.0,17929.0,12930.0,18621.0,11040.0,23211.0,-17742.0,-18672.0,-15796.0,-12171.0,-89474.0,-68.0,-5691.0,-36422.0,3,0,0,1,5,1
2022-01-01,17,126662.0,208694.0,4792.0,4133.0,1287.0,19117.0,9276.0,28393.0,16211.0,51429.0,1990.0,17898.0,13225.0,17942.0,11483.0,24435.0,-17830.0,-19117.0,-15908.0,-12952.0,-82032.0,659.0,-4717.0,-35218.0,3,0,0,1,5,1
2022-01-01,18,131402.0,203720.0,5052.0,3970.0,1154.0,19077.0,8514.0,27996.0,16206.0,49999.0,1944.0,17594.0,13667.0,17481.0,11812.0,24964.0,-17923.0,-19482.0,-15650.0,-13152.0,-72318.0,1082.0,-3814.0,-33793.0,3,0,0,1,5,1
2022-01-01,19,129423.0,196041.0,5097.0,3821.0,1163.0,18695.0,7418.0,26693.0,15302.0,47940.0,1715.0,16972.0,14060.0,17048.0,11974.0,25189.0,-17532.0,-19275.0,-15257.0,-13215.0,-66618.0,1276.0,-2988.0,-32638.0,3,0,0,1,5,1
2022-01-01,20,131258.0,191635.0,4892.0,3619.0,1108.0,18142.0,5956.0,24635.0,14103.0,46052.0,1625.0,16426.0,14106.0,16461.0,11616.0,24134.0,-17034.0,-18679.0,-14801.0,-12518.0,-60377.0,1273.0,-2355.0,-31949.0,3,0,0,1,5,1
2022-01-01,21,132964.0,187527.0,4747.0,3462.0,1021.0,17310.0,5111.0,22404.0,13678.0,44113.0,1393.0,15411.0,14048.0,16048.0,11279.0,22552.0,-16289.0,-17293.0,-14018.0,-11273.0,-54563.0,1285.0,-2000.0,-30435.0,3,0,0,1,5,1
2022-01-01,22,133780.0,176366.0,4078.0,3351.0,999.0,16380.0,5044.0,20428.0,14029.0,42275.0,1765.0,14480.0,13242.0,15924.0,10740.0,21048.0,-15381.0,-15384.0,-12715.0,-10308.0,-42586.0,727.0,-2682.0,-28246.0,3,0,0,1,5,1
2022-01-01,23,143879.0,170078.0,3960.0,3173.0,964.0,15480.0,5319.0,18989.0,14210.0,41053.0,2295.0,13833.0,12753.0,15328.0,10412.0,19473.0,-14516.0,-13670.0,-11538.0,-9061.0,-26199.0,787.0,-2575.0,-26843.0,3,0,0,1,5,1
2022-01-02,0,144602.0,164923.0,3959.0,3128.0,893.0,14901.0,5291.0,18083.0,15019.0,39562.0,2740.0,13451.0,12567.0,15037.0,10138.0,18375.0,-14008.0,-12792.0,-10711.0,-8237.0,-20321.0,831.0,-2470.0,-24543.0,3,0,0,1,6,1
2022-01-02,1,142061.0,162519.0,3732.0,3093.0,734.0,14342.0,5514.0,17740.0,15174.0,38687.0,3180.0,13267.0,11610.0,14770.0,10175.0,17841.0,-13608.0,-12226.0,-10087.0,-7666.0,-20458.0,639.0,-3160.0,-23513.0,3,0,0,1,6,1
2022-01-02,2,142190.0,162753.0,3817.0,3063.0,645.0,14142.0,5613.0,17737.0,15153.0,38236.0,3607.0,13326.0,11090.0,14706.0,10124.0,17539.0,-13497.0,-12124.0,-9719.0,-7415.0,-20563.0,754.0,-3616.0,-23083.0,3,0,0,1,6,1
2022-01-02,3,139441.0,163004.0,3814.0,3149.0,674.0,14436.0,5213.0,18409.0,15239.0,38283.0,3775.0,13714.0,10852.0,14752.0,9878.0,17684.0,-13762.0,-13196.0,-9939.0,-7806.0,-23563.0,665.0,-3900.0,-23044.0,3,0,0,1,6,1
2022-01-02,4,137755.0,162453.0,3700.0,3260.0,842.0,15008.0,5063.0,19869.0,15262.0,38979.0,3982.0,14230.0,10842.0,15202.0,9438.0,18353.0,-14166.0,-14806.0,-10248.0,-8915.0,-24698.0,440.0,-4360.0,-23717.0,3,0,0,1,6,1
2022-01-02,5,133409.0,162596.0,3663.0,3455.0,971.0,16122.0,4843.0,21148.0,15201.0,40264.0,4006.0,14542.0,11601.0,15916.0,8995.0,19223.0,-15151.0,-16305.0,-10536.0,-10228.0,-29187.0,208.0,-4315.0,-25063.0,3,0,0,1,6,1
2022-01-02,6,141328.0,171915.0,3639.0,3722.0,1106.0,16881.0,5736.0,22332.0,15936.0,42237.0,4155.0,14960.0,11959.0,16545.0,8929.0,19936.0,-15775.0,-16596.0,-10805.0,-11007.0,-30587.0,-83.0,-4586.0,-26301.0,3,0,0,1,6,1
2022-01-02,7,150776.0,185202.0,3497.0,3905.0,1921.0,17859.0,6963.0,23775.0,16315.0,44702.0,4655.0,15855.0,12765.0,16960.0,10299.0,21531.0,-15938.0,-16812.0,-11200.0,-11232.0,-34426.0,-408.0,-4195.0,-28387.0,3,0,0,1,6,1
2022-01-02,8,160678.0,195494.0,3341.0,4097.0,3141.0,18359.0,8390.0,24697.0,16895.0,46562.0,5087.0,16709.0,12943.0,17299.0,12463.0,23286.0,-15218.0,-16307.0,-11622.0,-10823.0,-34816.0,-756.0,-4356.0,-29667.0,3,0,0,1,6,1
2022-01-02,9,173788.0,205032.0,2977.0,4167.0,3862.0,18526.0,9409.0,25360.0,16866.0,46441.0,5309.0,17032.0,12812.0,17428.0,13781.0,24126.0,-14664.0,-15951.0,-11723.0,-10345.0,-31244.0,-1190.0,-4616.0,-29575.0,3,0,0,1,6,1
2022-01-02,10,186025.0,216802.0,2635.0,4198.0,3976.0,18846.0,10099.0,26123.0,17041.0,47998.0,5460.0,17414.0,12770.0,17553.0,14397.0,24202.0,-14870.0,-16024.0,-11954.0,-9805.0,-30777.0,-1563.0,-4783.0,-30957.0,3,0,0,1,6,1
2022-01-02,11,192390.0,217096.0,2180.0,4212.0,3617.0,18756.0,10019.0,25308.0,17307.0,48585.0,5319.0,18006.0,12616.0,17792.0,14453.0,24673.0,-15139.0,-15289.0,-12687.0,-10220.0,-24706.0,-2032.0,-5176.0,-31278.0,3,0,0,1,6,1
2022-01-02,12,194469.0,212695.0,2213.0,4191.0,2666.0,18838.0,8622.0,24751.0,17072.0,47660.0,4891.0,17914.0,12555.0,17912.0,14131.0,24921.0,-16172.0,-16129.0,-13023.0,-10790.0,-18226.0,-1978.0,-5357.0,-30588.0,3,0,0,1,6,1
2022-01-02,13,193423.0,210911.0,2494.0,4301.0,1606.0,19191.0,7313.0,24918.0,16696.0,47919.0,4986.0,18024.0,12521.0,18077.0,13637.0,23869.0,-17585.0,-17605.0,-13038.0,-10232.0,-17488.0,-1807.0,-5556.0,-31223.0,3,0,0,1,6,1
2022-01-02,14,194282.0,214431.0,3073.0,4521.0,920.0,19941.0,6958.0,26049.0,16590.0,48988.0,5540.0,18627.0,12380.0,18265.0,11678.0,23258.0,-19021.0,-19091.0,-13087.0,-11580.0,-20149.0,-1448.0,-5885.0,-32398.0,3,0,0,1,6,1
2022-01-02,15,196760.0,225625.0,3578.0,4873.0,776.0,21433.0,9467.0,28970.0,15779.0,51783.0,6536.0,18737.0,12366.0,18541.0,8699.0,23642.0,-20657.0,-19503.0,-12201.0,-14943.0,-28865.0,-1295.0,-6175.0,-36004.0,3,0,0,1,6,1
