StartTime,EndTime,quantity_B01,quantity_B09,quantity_B10,quantity_B11,quantity_B12,quantity_B15,quantity_B16,quantity_B18,quantity_B19,total_green_energy,Load
2022-01-01 00:00:00,2022-01-01 01:00:00,17295,104,14490,5690,378,504,0,23112,95800,157373,165125
2022-01-01 01:00:00,2022-01-01 02:00:00,17322,106,14738,5683,132,504,0,21798,91464,151747,160415
2022-01-01 02:00:00,2022-01-01 03:00:00,17343,108,16031,5685,167,504,0,21818,86282,147938,158035
2022-01-01 03:00:00,2022-01-01 04:00:00,17354,108,15190,5676,299,504,0,21773,80912,141816,157016
2022-01-01 04:00:00,2022-01-01 05:00:00,17401,108,13054,5637,270,504,0,17212,77784,131970,154552
2022-01-01 05:00:00,2022-01-01 06:00:00,17573,108,10861,5640,132,504,0,18988,75539,129345,154275
2022-01-01 06:00:00,2022-01-01 07:00:00,17839,108,9205,5652,152,504,7,18877,70492,122836,157356
2022-01-01 07:00:00,2022-01-01 08:00:00,18149,108,8717,5713,130,504,2175,16437,65575,117508,163000
2022-01-01 08:00:00,2022-01-01 09:00:00,18229,100,6395,5739,86,504,10187,16631,61218,119089,171858
2022-01-01 09:00:00,2022-01-01 10:00:00,18235,88,6388,5759,93,504,20112,16091,53701,120971,179829
2022-01-01 10:00:00,2022-01-01 11:00:00,18071,75,6819,5744,137,504,28215,17729,45898,123192,188335
2022-01-01 11:00:00,2022-01-01 12:00:00,17918,68,6627,5708,100,504,30817,20767,39805,122314,188528
2022-01-01 12:00:00,2022-01-01 13:00:00,17853,68,10226,5707,167,504,25303,22541,34783,117152,184922
2022-01-01 13:00:00,2022-01-01 14:00:00,17952,68,11386,5684,361,504,15859,23767,33238,108819,182733
2022-01-01 14:00:00,2022-01-01 15:00:00,18166,72,9664,5666,265,504,4901,24208,36258,99704,183467
2022-01-01 15:00:00,2022-01-01 16:00:00,18451,72,13250,5648,132,504,166,24503,44378,107104,195571
2022-01-01 16:00:00,2022-01-01 17:00:00,18518,81,15312,5615,140,504,0,24220,53395,117785,207259
2022-01-01 17:00:00,2022-01-01 18:00:00,18590,87,15691,5597,125,504,0,24213,61855,126662,208694
2022-01-01 18:00:00,2022-01-01 19:00:00,18372,89,13187,5600,143,504,0,24412,69095,131402,203720
2022-01-01 19:00:00,2022-01-01 20:00:00,17988,100,7906,5614,166,504,0,25190,71955,129423,196041
2022-01-01 20:00:00,2022-01-01 21:00:00,17750,104,7363,5630,156,504,0,26157,73594,131258,191635
2022-01-01 21:00:00,2022-01-01 22:00:00,17587,108,7056,5609,385,504,0,27148,74567,132964,187527
2022-01-01 22:00:00,2022-01-01 23:00:00,17455,109,6456,5583,132,504,0,27827,75714,133780,176366
2022-01-01 23:00:00,2022-01-02 00:00:00,17242,112,17663,5534,213,504,0,27734,74877,143879,170078
2022-01-02 00:00:00,2022-01-02 01:00:00,17313,110,19511,5535,254,504,0,27313,74062,144602,164923
2022-01-02 01:00:00,2022-01-02 02:00:00,17326,110,18994,5529,520,504,0,26571,72507,142061,162519
2022-01-02 02:00:00,2022-01-02 03:00:00,17325,108,18505,5522,506,504,0,24881,74839,142190,162753
2022-01-02 03:00:00,2022-01-02 04:00:00,17368,107,18753,5513,539,504,0,24274,72383,139441,163004
2022-01-02 04:00:00,2022-01-02 05:00:00,17432,104,16442,5505,471,504,0,25189,72108,137755,162453
2022-01-02 05:00:00,2022-01-02 06:00:00,17612,104,10021,5495,163,504,0,23348,76162,133409,162596
2022-01-02 06:00:00,2022-01-02 07:00:00,17871,104,10947,5482,98,504,17,21701,84604,141328,171915
2022-01-02 07:00:00,2022-01-02 08:00:00,18135,103,11029,5483,135,504,2801,22052,90534,150776,185202
2022-01-02 08:00:00,2022-01-02 09:00:00,18273,100,9638,5488,132,504,10724,20431,95388,160678,195494
2022-01-02 09:00:00,2022-01-02 10:00:00,18298,98,7746,5523,153,504,18275,22233,100958,173788,205032
