StartTime,EndTime,quantity_B12,quantity_B13,quantity_B16,quantity_B19,total_green_energy,Load
2022-01-01 00:00:00,2022-01-01 01:00:00,7086,0.0,0,4021,11107.0,15331
2022-01-01 01:00:00,2022-01-01 02:00:00,7088,0.0,0,3948,11036.0,15270
2022-01-01 02:00:00,2022-01-01 03:00:00,6746,0.0,0,3763,10509.0,15150
2022-01-01 03:00:00,2022-01-01 04:00:00,7173,0.0,0,3597,10770.0,15387
2022-01-01 04:00:00,2022-01-01 05:00:00,7497,0.0,0,3355,10852.0,15737
2022-01-01 05:00:00,2022-01-01 06:00:00,7973,0.0,0,3135,11108.0,16054
2022-01-01 06:00:00,2022-01-01 07:00:00,8820,0.0,0,2937,11757.0,16455
2022-01-01 07:00:00,2022-01-01 08:00:00,9060,0.0,1,2713,11774.0,16943
2022-01-01 08:00:00,2022-01-01 09:00:00,9220,0.0,7,2441,11668.0,17476
2022-01-01 09:00:00,2022-01-01 10:00:00,9253,0.0,13,2141,11407.0,17657
2022-01-01 10:00:00,2022-01-01 11:00:00,9218,0.0,12,1894,11124.0,17521
2022-01-01 11:00:00,2022-01-01 12:00:00,9238,0.0,8,1770,11016.0,17542
2022-01-01 12:00:00,2022-01-01 13:00:00,9409,0.0,2,1723,11134.0,17783
2022-01-01 13:00:00,2022-01-01 14:00:00,9813,0.0,0,1803,11616.0,18417
2022-01-01 14:00:00,2022-01-01 15:00:00,10094,0.0,0,2043,12137.0,18620
2022-01-01 15:00:00,2022-01-01 16:00:00,10115,0.0,0,2459,12574.0,18778
2022-01-01 16:00:00,2022-01-01 17:00:00,9945,0.0,0,2985,12930.0,18621
2022-01-01 17:00:00,2022-01-01 18:00:00,9775,0.0,0,3450,13225.0,17942
2022-01-01 18:00:00,2022-01-01 19:00:00,9553,0.0,0,4114,13667.0,17481
2022-01-01 19:00:00,2022-01-01 20:00:00,9212,0.0,0,4848,14060.0,17048
2022-01-01 20:00:00,2022-01-01 21:00:00,8742,0.0,0,5364,14106.0,16461
2022-01-01 21:00:00,2022-01-01 22:00:00,8332,0.0,0,5716,14048.0,16048
