StartTime,EndTime,green_energy_DE,DE_Load,green_energy_DK,DK_Load,green_energy_HU,HU_Load,green_energy_IT,IT_Load,green_energy_NE,NE_Load,green_energy_PO,PO_Load,green_energy_SE,SE_Load,green_energy_SP,SP_Load,green_energy_UK,UK_Load
2022-01-01 00:00:00,2022-01-01 01:00:00,157373,165125,3605,3218,1376,16457,5745.0,19756,12768,40706,4491,13935,11107.0,15331,10827,19530,0.0,1244.0
2022-01-01 01:00:00,2022-01-01 02:00:00,151747,160415,3309,3126,1526,15426,6228.0,18685,11131,39465,4436,13579,11036.0,15270,11140,18383,0.0,1131.0
2022-01-01 02:00:00,2022-01-01 03:00:00,147938,158035,3043,3080,1560,14781,6407.0,18124,11324,38923,4568,13397,10509.0,15150,11361,17680,0.0,1091.0
2022-01-01 03:00:00,2022-01-01 04:00:00,141816,157016,2852,3044,1287,14630,5760.0,18400,11290,38211,4559,13364,10770.0,15387,11247,17396,0.0,969.0
2022-01-01 04:00:00,2022-01-01 05:00:00,131970,154552,2724,3130,1309,14688,5501.0,19223,11093,38146,4374,13449,10852.0,15737,10868,17544,0.0,896.0
2022-01-01 05:00:00,2022-01-01 06:00:00,129345,154275,2579,3238,1450,14960,6226.0,19738,11028,38956,4303,13444,11108.0,16054,10935,17866,0.0,871.0
2022-01-01 06:00:00,2022-01-01 07:00:00,122836,157356,2293,3378,1627,15034,7356.0,20289,10421,39968,4370,13527,11757.0,16455,11101,17806,0.0,860.0
2022-01-01 07:00:00,2022-01-01 08:00:00,117508,163000,1806,3537,2447,15259,8637.0,21469,10565,40808,4540,14202,11774.0,16943,13339,18533,0.0,922.0
2022-01-01 08:00:00,2022-01-01 09:00:00,119089,171858,1655,3714,3597,15551,9132.0,22735,11355,41742,4402,14851,11668.0,17476,16179,20018,0.0,1017.0
2022-01-01 09:00:00,2022-01-01 10:00:00,120971,179829,1601,3818,4205,16045,9821.0,23636,13283,42796,4266,15643,11407.0,17657,17616,20989,0.0,1095.0
2022-01-01 10:00:00,2022-01-01 11:00:00,123192,188335,1832,3893,4331,16500,10404.0,24182,14039,42494,4014,16235,11124.0,17521,17581,21514,0.0,1232.0
2022-01-01 11:00:00,2022-01-01 12:00:00,122314,188528,1904,3943,3845,16966,10367.0,23270,14848,42294,3571,16712,11016.0,17542,17181,22105,0.0,1351.0
2022-01-01 12:00:00,2022-01-01 13:00:00,117152,184922,2116,3915,3026,17195,9877.0,22755,15071,43153,3103,16874,11134.0,17783,16585,22384,0.0,1508.0
2022-01-01 13:00:00,2022-01-01 14:00:00,108819,182733,2498,3988,2129,17488,7776.0,22881,15058,44379,2656,17032,11616.0,18417,16437,21106,0.0,1653.0
2022-01-01 14:00:00,2022-01-01 15:00:00,99704,183467,3200,4213,1517,18052,7108.0,23818,14996,45865,2368,17715,12137.0,18620,14798,20617,0.0,1682.0
2022-01-01 15:00:00,2022-01-01 16:00:00,107104,195571,3771,4473,1419,19157,8807.0,26742,14620,48406,2427,17887,12574.0,18778,11888,21096,0.0,1671.0
2022-01-01 16:00:00,2022-01-01 17:00:00,117785,207259,4339,4407,1427,19169,9000.0,27672,15599,52021,2133,17929,12930.0,18621,11040,23211,0.0,1741.0
2022-01-01 17:00:00,2022-01-01 18:00:00,126662,208694,4792,4133,1287,19117,9276.0,28393,16211,51429,1990,17898,13225.0,17942,11483,24435,0.0,1977.0
2022-01-01 18:00:00,2022-01-01 19:00:00,131402,203720,5052,3970,1154,19077,8514.0,27996,16206,49999,1944,17594,13667.0,17481,11812,24964,0.0,2083.0
2022-01-01 19:00:00,2022-01-01 20:00:00,129423,196041,5097,3821,1163,18695,7418.0,26693,15302,47940,1715,16972,14060.0,17048,11974,25189,0.0,1925.0
2022-01-01 20:00:00,2022-01-01 21:00:00,131258,191635,4892,3619,1108,18142,5956.0,24635,14103,46052,1625,16426,14106.0,16461,11616,24134,0.0,1801.0
2022-01-01 21:00:00,2022-01-01 22:00:00,132964,187527,4747,3462,1021,17310,5111.0,22404,13678,44113,1393,15411,14048.0,16048,11279,22552,0.0,1691.0
2022-01-01 22:00:00,2022-01-01 23:00:00,133780,176366,4078,3351,999,16380,5044.0,20428,14029,42275,1765,14480,13242.0,15924,10740,21048,0.0,1534.0
2022-01-01 23:00:00,2022-01-02 00:00:00,143879,170078,3960,3173,964,15480,5319.0,18989,14210,41053,2295,13833,12753.0,15328,10412,19473,0.0,1385.0
2022-01-02 00:00:00,2022-01-02 01:00:00,144602,164923,3959,3128,893,14901,5291.0,18083,15019,39562,2740,13451,12567.0,15037,10138,18375,0.0,626.0
2022-01-02 01:00:00,2022-01-02 02:00:00,142061,162519,3732,3093,734,14342,5514.0,17740,15174,38687,3180,13267,11610.0,14770,10175,17841,0.0,0.0
2022-01-02 02:00:00,2022-01-02 03:00:00,142190,162753,3817,3063,645,14142,5613.0,17737,15153,38236,3607,13326,11090.0,14706,10124,17539,0.0,525.0
2022-01-02 03:00:00,2022-01-02 04:00:00,139441,163004,3814,3149,674,14436,5213.0,18409,15239,38283,3775,13714,10852.0,14752,9878,17684,0.0,1008.0
