StartTime,EndTime,AreaID,UnitName,Load,hourly_time
2021-12-31 23:00:00,2022-01-01 00:00:00,10Y1001A1001A92E,MAW,677,2021-12-31 23:00:00
2022-01-01 00:00:00,2022-01-01 01:00:00,10Y1001A1001A92E,MAW,1244,2022-01-01 00:00:00
2022-01-01 01:00:00,2022-01-01 02:00:00,10Y1001A1001A92E,MAW,1131,2022-01-01 01:00:00
2022-01-01 02:00:00,2022-01-01 03:00:00,10Y1001A1001A92E,MAW,1091,2022-01-01 02:00:00
2022-01-01 03:00:00,2022-01-01 04:00:00,10Y1001A1001A92E,MAW,969,2022-01-01 03:00:00
2022-01-01 04:00:00,2022-01-01 05:00:00,10Y1001A1001A92E,MAW,896,2022-01-01 04:00:00
2022-01-01 05:00:00,2022-01-01 06:00:00,10Y1001A1001A92E,MAW,871,2022-01-01 05:00:00
2022-01-01 06:00:00,2022-01-01 07:00:00,10Y1001A1001A92E,MAW,860,2022-01-01 06:00:00
2022-01-01 07:00:00,2022-01-01 08:00:00,10Y1001A1001A92E,MAW,922,2022-01-01 07:00:00
2022-01-01 08:00:00,2022-01-01 09:00:00,10Y1001A1001A92E,MAW,1017,2022-01-01 08:00:00
2022-01-01 09:00:00,2022-01-01 10:00:00,10Y1001A1001A92E,MAW,1095,2022-01-01 09:00:00
2022-01-01 10:00:00,2022-01-01 11:00:00,10Y1001A1001A92E,MAW,1232,2022-01-01 10:00:00
2022-01-01 11:00:00,2022-01-01 12:00:00,10Y1001A1001A92E,MAW,1351,2022-01-01 11:00:00
2022-01-01 12:00:00,2022-01-01 13:00:00,10Y1001A1001A92E,MAW,1508,2022-01-01 12:00:00
2022-01-01 13:00:00,2022-01-01 14:00:00,10Y1001A1001A92E,MAW,1653,2022-01-01 13:00:00
2022-01-01 14:00:00,2022-01-01 15:00:00,10Y1001A1001A92E,MAW,1682,2022-01-01 14:00:00
2022-01-01 15:00:00,2022-01-01 16:00:00,10Y1001A1001A92E,MAW,1671,2022-01-01 15:00:00
2022-01-01 16:00:00,2022-01-01 17:00:00,10Y1001A1001A92E,MAW,1741,2022-01-01 16:00:00
2022-01-01 17:00:00,2022-01-01 18:00:00,10Y1001A1001A92E,MAW,1977,2022-01-01 17:00:00
2022-01-01 18:00:00,2022-01-01 19:00:00,10Y1001A1001A92E,MAW,2083,2022-01-01 18:00:00
2022-01-01 19:00:00,2022-01-01 20:00:00,10Y1001A1001A92E,MAW,1925,2022-01-01 19:00:00
2022-01-01 20:00:00,2022-01-01 21:00:00,10Y1001A1001A92E,MAW,1801,2022-01-01 20:00:00
2022-01-01 21:00:00,2022-01-01 22:00:00,10Y1001A1001A92E,MAW,1691,2022-01-01 21:00:00
2022-01-01 22:00:00,2022-01-01 23:00:00,10Y1001A1001A92E,MAW,1534,2022-01-01 22:00:00
2022-01-01 23:00:00,2022-01-02 00:00:00,10Y1001A1001A92E,MAW,1385,2022-01-01 23:00:00
2022-01-02 00:00:00,2022-01-02 00:30:00,10Y1001A1001A92E,MAW,626,2022-01-02 00:00:00
2022-01-02 01:00:00,,,,0,
2022-01-02 02:00:00,2022-01-02 03:00:00,10Y1001A1001A92E,MAW,525,2022-01-02 02:00:00
2022-01-02 03:00:00,2022-01-02 04:00:00,10Y1001A1001A92E,MAW,1008,2022-01-02 03:00:00
2022-01-02 04:00:00,2022-01-02 05:00:00,10Y1001A1001A92E,MAW,971,2022-01-02 04:00:00
2022-01-02 05:00:00,2022-01-02 06:00:00,10Y1001A1001A92E,MAW,942,2022-01-02 05:00:00
2022-01-02 06:00:00,2022-01-02 07:00:00,10Y1001A1001A92E,MAW,948,2022-01-02 06:00:00
2022-01-02 07:00:00,2022-01-02 08:00:00,10Y1001A1001A92E,MAW,1010,2022-01-02 07:00:00
2022-01-02 08:00:00,2022-01-02 09:00:00,10Y1001A1001A92E,MAW,1119,2022-01-02 08:00:00
2022-01-02 09:00:00,2022-01-02 10:00:00,10Y1001A1001A92E,MAW,1241,2022-01-02 09:00:00
2022-01-02 10:00:00,2022-01-02 11:00:00,10Y1001A1001A92E,MAW,1420,2022-01-02 10:00:00
2022-01-02 11:00:00,2022-01-02 12:00:00,10Y1001A1001A92E,MAW,1562,2022-01-02 11:00:00
2022-01-02 12:00:00,2022-01-02 13:00:00,10Y1001A1001A92E,MAW,1678,2022-01-02 12:00:00
2022-01-02 13:00:00,2022-01-02 14:00:00,10Y1001A1001A92E,MAW,1770,2022-01-02 13:00:00
2022-01-02 14:00:00,2022-01-02 15:00:00,10Y1001A1001A92E,MAW,1747,2022-01-02 14:00:00
2022-01-02 15:00:00,2022-01-02 16:00:00,10Y1001A1001A92E,MAW,1719,2022-01-02 15:00:00
2022-01-02 16:00:00,2022-01-02 17:00:00,10Y1001A1001A92E,MAW,1803,2022-01-02 16:00:00
2022-01-02 17:00:00,2022-01-02 18:00:00,10Y1001A1001A92E,MAW,2088,2022-01-02 17:00:00
2022-01-02 18:00:00,2022-01-02 19:00:00,10Y1001A1001A92E,MAW,2184,2022-01-02 18:00:00
2022-01-02 19:00:00,2022-01-02 20:00:00,10Y1001A1001A92E,MAW,1973,2022-01-02 19:00:00
2022-01-02 20:00:00,2022-01-02 21:00:00,10Y1001A1001A92E,MAW,1794,2022-01-02 20:00:00
2022-01-02 21:00:00,2022-01-02 22:00:00,10Y1001A1001A92E,MAW,1655,2022-01-02 21:00:00
2022-01-02 22:00:00,2022-01-02 23:00:00,10Y1001A1001A92E,MAW,1501,2022-01-02 22:00:00
2022-01-02 23:00:00,2022-01-03 00:00:00,10Y1001A1001A92E,MAW,1322,2022-01-02 23:00:00
2022-01-03 00:00:00,2022-01-03 01:00:00,10Y1001A1001A92E,MAW,1129,2022-01-03 00:00:00
2022-01-03 01:00:00,2022-01-03 02:00:00,10Y1001A1001A92E,MAW,1012,2022-01-03 01:00:00
2022-01-03 02:00:00,2022-01-03 03:00:00,10Y1001A1001A92E,MAW,980,2022-01-03 02:00:00
2022-01-03 03:00:00,2022-01-03 04:00:00,10Y1001A1001A92E,MAW,926,2022-01-03 03:00:00
2022-01-03 04:00:00,2022-01-03 05:00:00,10Y1001A1001A92E,MAW,911,2022-01-03 04:00:00
2022-01-03 05:00:00,2022-01-03 06:00:00,10Y1001A1001A92E,MAW,930,2022-01-03 05:00:00
2022-01-03 06:00:00,2022-01-03 07:00:00,10Y1001A1001A92E,MAW,990,2022-01-03 06:00:00
2022-01-03 07:00:00,2022-01-03 08:00:00,10Y1001A1001A92E,MAW,1170,2022-01-03 07:00:00
2022-01-03 08:00:00,2022-01-03 09:00:00,10Y1001A1001A92E,MAW,1341,2022-01-03 08:00:00
2022-01-03 09:00:00,2022-01-03 10:00:00,10Y1001A1001A92E,MAW,1489,2022-01-03 09:00:00
2022-01-03 10:00:00,2022-01-03 11:00:00,10Y1001A1001A92E,MAW,1670,2022-01-03 10:00:00
2022-01-03 11:00:00,2022-01-03 12:00:00,10Y1001A1001A92E,MAW,1781,2022-01-03 11:00:00
2022-01-03 12:00:00,2022-01-03 13:00:00,10Y1001A1001A92E,MAW,1857,2022-01-03 12:00:00
2022-01-03 13:00:00,2022-01-03 14:00:00,10Y1001A1001A92E,MAW,1969,2022-01-03 13:00:00
2022-01-03 14:00:00,2022-01-03 15:00:00,10Y1001A1001A92E,MAW,1979,2022-01-03 14:00:00
2022-01-03 15:00:00,2022-01-03 16:00:00,10Y1001A1001A92E,MAW,1979,2022-01-03 15:00:00
2022-01-03 16:00:00,2022-01-03 17:00:00,10Y1001A1001A92E,MAW,2046,2022-01-03 16:00:00
2022-01-03 17:00:00,2022-01-03 18:00:00,10Y1001A1001A92E,MAW,2398,2022-01-03 17:00:00
2022-01-03 18:00:00,2022-01-03 19:00:00,10Y1001A1001A92E,MAW,2500,2022-01-03 18:00:00
2022-01-03 19:00:00,2022-01-03 20:00:00,10Y1001A1001A92E,MAW,2291,2022-01-03 19:00:00
2022-01-03 20:00:00,2022-01-03 21:00:00,10Y1001A1001A92E,MAW,2150,2022-01-03 20:00:00
2022-01-03 21:00:00,2022-01-03 22:00:00,10Y1001A1001A92E,MAW,1984,2022-01-03 21:00:00
2022-01-03 22:00:00,2022-01-03 23:00:00,10Y1001A1001A92E,MAW,1792,2022-01-03 22:00:00
2022-01-03 23:00:00,2022-01-04 00:00:00,10Y1001A1001A92E,MAW,1587,2022-01-03 23:00:00
2022-01-04 00:00:00,2022-01-04 01:00:00,10Y1001A1001A92E,MAW,1399,2022-01-04 00:00:00
2022-01-04 01:00:00,2022-01-04 02:00:00,10Y1001A1001A92E,MAW,1261,2022-01-04 01:00:00
2022-01-04 02:00:00,2022-01-04 03:00:00,10Y1001A1001A92E,MAW,1242,2022-01-04 02:00:00
