StartTime,EndTime,AreaID,UnitName,PsrType,quantity,hourly_time
2021-12-31 23:00:00,2022-01-01 00:00:00,10YPL-AREA-----S,MAW,B19,4244,2021-12-31 23:00:00
2022-01-01 00:00:00,2022-01-01 01:00:00,10YPL-AREA-----S,MAW,B19,4071,2022-01-01 00:00:00
2022-01-01 01:00:00,2022-01-01 02:00:00,10YPL-AREA-----S,MAW,B19,3997,2022-01-01 01:00:00
2022-01-01 02:00:00,2022-01-01 03:00:00,10YPL-AREA-----S,MAW,B19,4105,2022-01-01 02:00:00
2022-01-01 03:00:00,2022-01-01 04:00:00,10YPL-AREA-----S,MAW,B19,4085,2022-01-01 03:00:00
2022-01-01 04:00:00,2022-01-01 05:00:00,10YPL-AREA-----S,MAW,B19,3902,2022-01-01 04:00:00
2022-01-01 05:00:00,2022-01-01 06:00:00,10YPL-AREA-----S,MAW,B19,3837,2022-01-01 05:00:00
2022-01-01 06:00:00,2022-01-01 07:00:00,10YPL-AREA-----S,MAW,B19,3891,2022-01-01 06:00:00
2022-01-01 07:00:00,2022-01-01 08:00:00,10YPL-AREA-----S,MAW,B19,3951,2022-01-01 07:00:00
2022-01-01 08:00:00,2022-01-01 09:00:00,10YPL-AREA-----S,MAW,B19,3732,2022-01-01 08:00:00
2022-01-01 09:00:00,2022-01-01 10:00:00,10YPL-AREA-----S,MAW,B19,3525,2022-01-01 09:00:00
2022-01-01 10:00:00,2022-01-01 11:00:00,10YPL-AREA-----S,MAW,B19,3271,2022-01-01 10:00:00
2022-01-01 11:00:00,2022-01-01 12:00:00,10YPL-AREA-----S,MAW,B19,2878,2022-01-01 11:00:00
2022-01-01 12:00:00,2022-01-01 13:00:00,10YPL-AREA-----S,MAW,B19,2485,2022-01-01 12:00:00
2022-01-01 13:00:00,2022-01-01 14:00:00,10YPL-AREA-----S,MAW,B19,1997,2022-01-01 13:00:00
2022-01-01 14:00:00,2022-01-01 15:00:00,10YPL-AREA-----S,MAW,B19,1458,2022-01-01 14:00:00
2022-01-01 15:00:00,2022-01-01 16:00:00,10YPL-AREA-----S,MAW,B19,1122,2022-01-01 15:00:00
2022-01-01 16:00:00,2022-01-01 17:00:00,10YPL-AREA-----S,MAW,B19,858,2022-01-01 16:00:00
2022-01-01 17:00:00,2022-01-01 18:00:00,10YPL-AREA-----S,MAW,B19,668,2022-01-01 17:00:00
2022-01-01 18:00:00,2022-01-01 19:00:00,10YPL-AREA-----S,MAW,B19,670,2022-01-01 18:00:00
2022-01-01 19:00:00,2022-01-01 20:00:00,10YPL-AREA-----S,MAW,B19,721,2022-01-01 19:00:00
2022-01-01 20:00:00,2022-01-01 21:00:00,10YPL-AREA-----S,MAW,B19,753,2022-01-01 20:00:00
2022-01-01 21:00:00,2022-01-01 22:00:00,10YPL-AREA-----S,MAW,B19,878,2022-01-01 21:00:00
2022-01-01 22:00:00,2022-01-01 23:00:00,10YPL-AREA-----S,MAW,B19,1329,2022-01-01 22:00:00
2022-01-01 23:00:00,2022-01-02 00:00:00,10YPL-AREA-----S,MAW,B19,1861,2022-01-01 23:00:00
2022-01-02 00:00:00,2022-01-02 01:00:00,10YPL-AREA-----S,MAW,B19,2306,2022-01-02 00:00:00
2022-01-02 01:00:00,2022-01-02 02:00:00,10YPL-AREA-----S,MAW,B19,2746,2022-01-02 01:00:00
2022-01-02 02:00:00,2022-01-02 03:00:00,10YPL-AREA-----S,MAW,B19,3169,2022-01-02 02:00:00
2022-01-02 03:00:00,2022-01-02 04:00:00,10YPL-AREA-----S,MAW,B19,3345,2022-01-02 03:00:00
2022-01-02 04:00:00,2022-01-02 05:00:00,10YPL-AREA-----S,MAW,B19,3504,2022-01-02 04:00:00
2022-01-02 05:00:00,2022-01-02 06:00:00,10YPL-AREA-----S,MAW,B19,3522,2022-01-02 05:00:00
2022-01-02 06:00:00,2022-01-02 07:00:00,10YPL-AREA-----S,MAW,B19,3608,2022-01-02 06:00:00
2022-01-02 07:00:00,2022-01-02 08:00:00,10YPL-AREA-----S,MAW,B19,3643,2022-01-02 07:00:00
2022-01-02 08:00:00,2022-01-02 09:00:00,10YPL-AREA-----S,MAW,B19,3771,2022-01-02 08:00:00
2022-01-02 09:00:00,2022-01-02 10:00:00,10YPL-AREA-----S,MAW,B19,3919,2022-01-02 09:00:00
2022-01-02 10:00:00,2022-01-02 11:00:00,10YPL-AREA-----S,MAW,B19,4001,2022-01-02 10:00:00
2022-01-02 11:00:00,2022-01-02 12:00:00,10YPL-AREA-----S,MAW,B19,4039,2022-01-02 11:00:00
2022-01-02 12:00:00,2022-01-02 13:00:00,10YPL-AREA-----S,MAW,B19,4092,2022-01-02 12:00:00
2022-01-02 13:00:00,2022-01-02 14:00:00,10YPL-AREA-----S,MAW,B19,4253,2022-01-02 13:00:00
2022-01-02 14:00:00,2022-01-02 15:00:00,10YPL-AREA-----S,MAW,B19,4629,2022-01-02 14:00:00
2022-01-02 15:00:00,2022-01-02 16:00:00,10YPL-AREA-----S,MAW,B19,5233,2022-01-02 15:00:00
2022-01-02 16:00:00,2022-01-02 17:00:00,10YPL-AREA-----S,MAW,B19,5499,2022-01-02 16:00:00
2022-01-02 17:00:00,2022-01-02 18:00:00,10YPL-AREA-----S,MAW,B19,5881,2022-01-02 17:00:00
2022-01-02 18:00:00,2022-01-02 19:00:00,10YPL-AREA-----S,MAW,B19,5931,2022-01-02 18:00:00
2022-01-02 19:00:00,2022-01-02 20:00:00,10YPL-AREA-----S,MAW,B19,6053,2022-01-02 19:00:00
2022-01-02 20:00:00,2022-01-02 21:00:00,10YPL-AREA-----S,MAW,B19,6148,2022-01-02 20:00:00
2022-01-02 21:00:00,2022-01-02 22:00:00,10YPL-AREA-----S,MAW,B19,6062,2022-01-02 21:00:00
2022-01-02 22:00:00,2022-01-02 23:00:00,10YPL-AREA-----S,MAW,B19,6079,2022-01-02 22:00:00
2022-01-02 23:00:00,2022-01-03 00:00:00,10YPL-AREA-----S,MAW,B19,5754,2022-01-02 23:00:00
2022-01-03 00:00:00,2022-01-03 01:00:00,10YPL-AREA-----S,MAW,B19,5437,2022-01-03 00:00:00
2022-01-03 01:00:00,2022-01-03 02:00:00,10YPL-AREA-----S,MAW,B19,5104,2022-01-03 01:00:00
2022-01-03 02:00:00,2022-01-03 03:00:00,10YPL-AREA-----S,MAW,B19,4712,2022-01-03 02:00:00
2022-01-03 03:00:00,2022-01-03 04:00:00,10YPL-AREA-----S,MAW,B19,4129,2022-01-03 03:00:00
2022-01-03 04:00:00,2022-01-03 05:00:00,10YPL-AREA-----S,MAW,B19,3884,2022-01-03 04:00:00
2022-01-03 05:00:00,2022-01-03 06:00:00,10YPL-AREA-----S,MAW,B19,3611,2022-01-03 05:00:00
2022-01-03 06:00:00,2022-01-03 07:00:00,10YPL-AREA-----S,MAW,B19,3675,2022-01-03 06:00:00
2022-01-03 07:00:00,2022-01-03 08:00:00,10YPL-AREA-----S,MAW,B19,3750,2022-01-03 07:00:00
2022-01-03 08:00:00,2022-01-03 09:00:00,10YPL-AREA-----S,MAW,B19,3986,2022-01-03 08:00:00
2022-01-03 09:00:00,2022-01-03 10:00:00,10YPL-AREA-----S,MAW,B19,4319,2022-01-03 09:00:00
2022-01-03 10:00:00,2022-01-03 11:00:00,10YPL-AREA-----S,MAW,B19,4585,2022-01-03 10:00:00
2022-01-03 11:00:00,2022-01-03 12:00:00,10YPL-AREA-----S,MAW,B19,4829,2022-01-03 11:00:00
2022-01-03 12:00:00,2022-01-03 13:00:00,10YPL-AREA-----S,MAW,B19,4879,2022-01-03 12:00:00
2022-01-03 13:00:00,2022-01-03 14:00:00,10YPL-AREA-----S,MAW,B19,4919,2022-01-03 13:00:00
2022-01-03 14:00:00,2022-01-03 15:00:00,10YPL-AREA-----S,MAW,B19,4769,2022-01-03 14:00:00
2022-01-03 15:00:00,2022-01-03 16:00:00,10YPL-AREA-----S,MAW,B19,4535,2022-01-03 15:00:00
2022-01-03 16:00:00,2022-01-03 17:00:00,10YPL-AREA-----S,MAW,B19,4279,2022-01-03 16:00:00
2022-01-03 17:00:00,2022-01-03 18:00:00,10YPL-AREA-----S,MAW,B19,4236,2022-01-03 17:00:00
2022-01-03 18:00:00,2022-01-03 19:00:00,10YPL-AREA-----S,MAW,B19,4350,2022-01-03 18:00:00
2022-01-03 19:00:00,2022-01-03 20:00:00,10YPL-AREA-----S,MAW,B19,4373,2022-01-03 19:00:00
2022-01-03 20:00:00,2022-01-03 21:00:00,10YPL-AREA-----S,MAW,B19,4298,2022-01-03 20:00:00
2022-01-03 21:00:00,2022-01-03 22:00:00,10YPL-AREA-----S,MAW,B19,4367,2022-01-03 21:00:00
2022-01-03 22:00:00,2022-01-03 23:00:00,10YPL-AREA-----S,MAW,B19,4259,2022-01-03 22:00:00
2022-01-03 23:00:00,2022-01-04 00:00:00,10YPL-AREA-----S,MAW,B19,3958,2022-01-03 23:00:00
2022-01-04 00:00:00,2022-01-04 01:00:00,10YPL-AREA-----S,MAW,B19,3712,2022-01-04 00:00:00
2022-01-04 01:00:00,2022-01-04 02:00:00,10YPL-AREA-----S,MAW,B19,3718,2022-01-04 01:00:00
2022-01-04 02:00:00,2022-01-04 03:00:00,10YPL-AREA-----S,MAW,B19,3503,2022-01-04 02:00:00
2022-01-04 03:00:00,2022-01-04 04:00:00,10YPL-AREA-----S,MAW,B19,3286,2022-01-04 03:00:00
2022-01-04 04:00:00,2022-01-04 05:00:00,10YPL-AREA-----S,MAW,B19,3065,2022-01-04 04:00:00
2022-01-04 05:00:00,2022-01-04 06:00:00,10YPL-AREA-----S,MAW,B19,2777,2022-01-04 05:00:00
2022-01-04 06:00:00,2022-01-04 07:00:00,10YPL-AREA-----S,MAW,B19,2703,2022-01-04 06:00:00
2022-01-04 07:00:00,2022-01-04 08:00:00,10YPL-AREA-----S,MAW,B19,2316,2022-01-04 07:00:00
2022-01-04 08:00:00,2022-01-04 09:00:00,10YPL-AREA-----S,MAW,B19,1861,2022-01-04 08:00:00
2022-01-04 09:00:00,2022-01-04 10:00:00,10YPL-AREA-----S,MAW,B19,1630,2022-01-04 09:00:00
2022-01-04 10:00:00,2022-01-04 11:00:00,10YPL-AREA-----S,MAW,B19,1436,2022-01-04 10:00:00
2022-01-04 11:00:00,2022-01-04 12:00:00,10YPL-AREA-----S,MAW,B19,1293,2022-01-04 11:00:00
2022-01-04 12:00:00,2022-01-04 13:00:00,10YPL-AREA-----S,MAW,B19,1303,2022-01-04 12:00:00
2022-01-04 13:00:00,2022-01-04 14:00:00,10YPL-AREA-----S,MAW,B19,1498,2022-01-04 13:00:00
2022-01-04 14:00:00,2022-01-04 15:00:00,10YPL-AREA-----S,MAW,B19,1633,2022-01-04 14:00:00
2022-01-04 15:00:00,2022-01-04 16:00:00,10YPL-AREA-----S,MAW,B19,1841,2022-01-04 15:00:00
2022-01-04 16:00:00,2022-01-04 17:00:00,10YPL-AREA-----S,MAW,B19,2102,2022-01-04 16:00:00
2022-01-04 17:00:00,2022-01-04 18:00:00,10YPL-AREA-----S,MAW,B19,2493,2022-01-04 17:00:00
2022-01-04 18:00:00,2022-01-04 19:00:00,10YPL-AREA-----S,MAW,B19,2913,2022-01-04 18:00:00
2022-01-04 19:00:00,2022-01-04 20:00:00,10YPL-AREA-----S,MAW,B19,2873,2022-01-04 19:00:00
2022-01-04 20:00:00,2022-01-04 21:00:00,10YPL-AREA-----S,MAW,B19,2927,2022-01-04 20:00:00
2022-01-04 21:00:00,2022-01-04 22:00:00,10YPL-AREA-----S,MAW,B19,3099,2022-01-04 21:00:00
2022-01-04 22:00:00,2022-01-04 23:00:00,10YPL-AREA-----S,MAW,B19,3280,2022-01-04 22:00:00
2022-01-04 23:00:00,2022-01-05 00:00:00,10YPL-AREA-----S,MAW,B19,3143,2022-01-04 23:00:00
2022-01-05 00:00:00,2022-01-05 01:00:00,10YPL-AREA-----S,MAW,B19,2822,2022-01-05 00:00:00
2022-01-05 01:00:00,2022-01-05 02:00:00,10YPL-AREA-----S,MAW,B19,2634,2022-01-05 01:00:00
2022-01-05 02:00:00,2022-01-05 03:00:00,10YPL-AREA-----S,MAW,B19,2384,2022-01-05 02:00:00
2022-01-05 03:00:00,2022-01-05 04:00:00,10YPL-AREA-----S,MAW,B19,2260,2022-01-05 03:00:00
2022-01-05 04:00:00,2022-01-05 05:00:00,10YPL-AREA-----S,MAW,B19,2300,2022-01-05 04:00:00
2022-01-05 05:00:00,2022-01-05 06:00:00,10YPL-AREA-----S,MAW,B19,2412,2022-01-05 05:00:00
2022-01-05 06:00:00,2022-01-05 07:00:00,10YPL-AREA-----S,MAW,B19,2440,2022-01-05 06:00:00
2022-01-05 07:00:00,2022-01-05 08:00:00,10YPL-AREA-----S,MAW,B19,2547,2022-01-05 07:00:00
2022-01-05 08:00:00,2022-01-05 09:00:00,10YPL-AREA-----S,MAW,B19,2616,2022-01-05 08:00:00
2022-01-05 09:00:00,2022-01-05 10:00:00,10YPL-AREA-----S,MAW,B19,2848,2022-01-05 09:00:00
2022-01-05 10:00:00,2022-01-05 11:00:00,10YPL-AREA-----S,MAW,B19,3036,2022-01-05 10:00:00
2022-01-05 11:00:00,2022-01-05 12:00:00,10YPL-AREA-----S,MAW,B19,3042,2022-01-05 11:00:00
2022-01-05 12:00:00,2022-01-05 13:00:00,10YPL-AREA-----S,MAW,B19,3344,2022-01-05 12:00:00
2022-01-05 13:00:00,2022-01-05 14:00:00,10YPL-AREA-----S,MAW,B19,3530,2022-01-05 13:00:00
2022-01-05 14:00:00,2022-01-05 15:00:00,10YPL-AREA-----S,MAW,B19,3724,2022-01-05 14:00:00
2022-01-05 15:00:00,2022-01-05 16:00:00,10YPL-AREA-----S,MAW,B19,3832,2022-01-05 15:00:00
2022-01-05 16:00:00,2022-01-05 17:00:00,10YPL-AREA-----S,MAW,B19,3953,2022-01-05 16:00:00
2022-01-05 17:00:00,2022-01-05 18:00:00,10YPL-AREA-----S,MAW,B19,3982,2022-01-05 17:00:00
2022-01-05 18:00:00,2022-01-05 19:00:00,10YPL-AREA-----S,MAW,B19,4109,2022-01-05 18:00:00
2022-01-05 19:00:00,2022-01-05 20:00:00,10YPL-AREA-----S,MAW,B19,4132,2022-01-05 19:00:00
2022-01-05 20:00:00,2022-01-05 21:00:00,10YPL-AREA-----S,MAW,B19,4103,2022-01-05 20:00:00
