StartTime,EndTime,AreaID,UnitName,PsrType,quantity,hourly_time
2021-12-31 23:00:00,2022-01-01 00:00:00,10YSE-1--------K,MAW,B19,4045,2021-12-31 23:00:00
2022-01-01 00:00:00,2022-01-01 01:00:00,10YSE-1--------K,MAW,B19,4021,2022-01-01 00:00:00
2022-01-01 01:00:00,2022-01-01 02:00:00,10YSE-1--------K,MAW,B19,3948,2022-01-01 01:00:00
2022-01-01 02:00:00,2022-01-01 03:00:00,10YSE-1--------K,MAW,B19,3763,2022-01-01 02:00:00
2022-01-01 03:00:00,2022-01-01 04:00:00,10YSE-1--------K,MAW,B19,3597,2022-01-01 03:00:00
2022-01-01 04:00:00,2022-01-01 05:00:00,10YSE-1--------K,MAW,B19,3355,2022-01-01 04:00:00
2022-01-01 05:00:00,2022-01-01 06:00:00,10YSE-1--------K,MAW,B19,3135,2022-01-01 05:00:00
2022-01-01 06:00:00,2022-01-01 07:00:00,10YSE-1--------K,MAW,B19,2937,2022-01-01 06:00:00
2022-01-01 07:00:00,2022-01-01 08:00:00,10YSE-1--------K,MAW,B19,2713,2022-01-01 07:00:00
2022-01-01 08:00:00,2022-01-01 09:00:00,10YSE-1--------K,MAW,B19,2441,2022-01-01 08:00:00
2022-01-01 09:00:00,2022-01-01 10:00:00,10YSE-1--------K,MAW,B19,2141,2022-01-01 09:00:00
2022-01-01 10:00:00,2022-01-01 11:00:00,10YSE-1--------K,MAW,B19,1894,2022-01-01 10:00:00
2022-01-01 11:00:00,2022-01-01 12:00:00,10YSE-1--------K,MAW,B19,1770,2022-01-01 11:00:00
2022-01-01 12:00:00,2022-01-01 13:00:00,10YSE-1--------K,MAW,B19,1723,2022-01-01 12:00:00
2022-01-01 13:00:00,2022-01-01 14:00:00,10YSE-1--------K,MAW,B19,1803,2022-01-01 13:00:00
2022-01-01 14:00:00,2022-01-01 15:00:00,10YSE-1--------K,MAW,B19,2043,2022-01-01 14:00:00
2022-01-01 15:00:00,2022-01-01 16:00:00,10YSE-1--------K,MAW,B19,2459,2022-01-01 15:00:00
2022-01-01 16:00:00,2022-01-01 17:00:00,10YSE-1--------K,MAW,B19,2985,2022-01-01 16:00:00
2022-01-01 17:00:00,2022-01-01 18:00:00,10YSE-1--------K,MAW,B19,3450,2022-01-01 17:00:00
2022-01-01 18:00:00,2022-01-01 19:00:00,10YSE-1--------K,MAW,B19,4114,2022-01-01 18:00:00
2022-01-01 19:00:00,2022-01-01 20:00:00,10YSE-1--------K,MAW,B19,4848,2022-01-01 19:00:00
2022-01-01 20:00:00,2022-01-01 21:00:00,10YSE-1--------K,MAW,B19,5364,2022-01-01 20:00:00
2022-01-01 21:00:00,2022-01-01 22:00:00,10YSE-1--------K,MAW,B19,5716,2022-01-01 21:00:00
2022-01-01 22:00:00,2022-01-01 23:00:00,10YSE-1--------K,MAW,B19,6177,2022-01-01 22:00:00
2022-01-01 23:00:00,2022-01-02 00:00:00,10YSE-1--------K,MAW,B19,6234,2022-01-01 23:00:00
2022-01-02 00:00:00,2022-01-02 01:00:00,10YSE-1--------K,MAW,B19,6296,2022-01-02 00:00:00
2022-01-02 01:00:00,2022-01-02 02:00:00,10YSE-1--------K,MAW,B19,6257,2022-01-02 01:00:00
2022-01-02 02:00:00,2022-01-02 03:00:00,10YSE-1--------K,MAW,B19,6034,2022-01-02 02:00:00
2022-01-02 03:00:00,2022-01-02 04:00:00,10YSE-1--------K,MAW,B19,5732,2022-01-02 03:00:00
2022-01-02 04:00:00,2022-01-02 05:00:00,10YSE-1--------K,MAW,B19,5394,2022-01-02 04:00:00
2022-01-02 05:00:00,2022-01-02 06:00:00,10YSE-1--------K,MAW,B19,5004,2022-01-02 05:00:00
2022-01-02 06:00:00,2022-01-02 07:00:00,10YSE-1--------K,MAW,B19,4738,2022-01-02 06:00:00
2022-01-02 07:00:00,2022-01-02 08:00:00,10YSE-1--------K,MAW,B19,4387,2022-01-02 07:00:00
2022-01-02 08:00:00,2022-01-02 09:00:00,10YSE-1--------K,MAW,B19,4095,2022-01-02 08:00:00
2022-01-02 09:00:00,2022-01-02 10:00:00,10YSE-1--------K,MAW,B19,3771,2022-01-02 09:00:00
2022-01-02 10:00:00,2022-01-02 11:00:00,10YSE-1--------K,MAW,B19,3636,2022-01-02 10:00:00
2022-01-02 11:00:00,2022-01-02 12:00:00,10YSE-1--------K,MAW,B19,3356,2022-01-02 11:00:00
2022-01-02 12:00:00,2022-01-02 13:00:00,10YSE-1--------K,MAW,B19,3092,2022-01-02 12:00:00
2022-01-02 13:00:00,2022-01-02 14:00:00,10YSE-1--------K,MAW,B19,2810,2022-01-02 13:00:00
2022-01-02 14:00:00,2022-01-02 15:00:00,10YSE-1--------K,MAW,B19,2604,2022-01-02 14:00:00
2022-01-02 15:00:00,2022-01-02 16:00:00,10YSE-1--------K,MAW,B19,2462,2022-01-02 15:00:00
2022-01-02 16:00:00,2022-01-02 17:00:00,10YSE-1--------K,MAW,B19,2421,2022-01-02 16:00:00
2022-01-02 17:00:00,2022-01-02 18:00:00,10YSE-1--------K,MAW,B19,2360,2022-01-02 17:00:00
2022-01-02 18:00:00,2022-01-02 19:00:00,10YSE-1--------K,MAW,B19,2369,2022-01-02 18:00:00
2022-01-02 19:00:00,2022-01-02 20:00:00,10YSE-1--------K,MAW,B19,2410,2022-01-02 19:00:00
2022-01-02 20:00:00,2022-01-02 21:00:00,10YSE-1--------K,MAW,B19,2610,2022-01-02 20:00:00
2022-01-02 21:00:00,2022-01-02 22:00:00,10YSE-1--------K,MAW,B19,2647,2022-01-02 21:00:00
2022-01-02 22:00:00,2022-01-02 23:00:00,10YSE-1--------K,MAW,B19,2723,2022-01-02 22:00:00
2022-01-02 23:00:00,2022-01-03 00:00:00,10YSE-1--------K,MAW,B19,2811,2022-01-02 23:00:00
2022-01-03 00:00:00,2022-01-03 01:00:00,10YSE-1--------K,MAW,B19,2672,2022-01-03 00:00:00
2022-01-03 01:00:00,2022-01-03 02:00:00,10YSE-1--------K,MAW,B19,2652,2022-01-03 01:00:00
2022-01-03 02:00:00,2022-01-03 03:00:00,10YSE-1--------K,MAW,B19,2609,2022-01-03 02:00:00
