StartTime,EndTime,AreaID,UnitName,PsrType,quantity,hourly_time
2021-12-31 23:00:00,2022-01-01 00:00:00,,MAW,B10,1711,2021-12-31 23:00:00
2022-01-01 00:00:00,2022-01-01 01:00:00,,MAW,B10,1884,2022-01-01 00:00:00
2022-01-01 01:00:00,2022-01-01 02:00:00,,MAW,B10,2515,2022-01-01 01:00:00
2022-01-01 02:00:00,2022-01-01 03:00:00,,MAW,B10,2913,2022-01-01 02:00:00
2022-01-01 03:00:00,2022-01-01 04:00:00,,MAW,B10,2957,2022-01-01 03:00:00
2022-01-01 04:00:00,2022-01-01 05:00:00,,MAW,B10,2854,2022-01-01 04:00:00
2022-01-01 05:00:00,2022-01-01 06:00:00,,MAW,B10,2850,2022-01-01 05:00:00
2022-01-01 06:00:00,2022-01-01 07:00:00,,MAW,B10,2992,2022-01-01 06:00:00
2022-01-01 07:00:00,2022-01-01 08:00:00,,MAW,B10,3305,2022-01-01 07:00:00
2022-01-01 08:00:00,2022-01-01 09:00:00,,MAW,B10,3362,2022-01-01 08:00:00
2022-01-01 09:00:00,2022-01-01 10:00:00,,MAW,B10,3283,2022-01-01 09:00:00
2022-01-01 10:00:00,2022-01-01 11:00:00,,MAW,B10,3163,2022-01-01 10:00:00
2022-01-01 11:00:00,2022-01-01 12:00:00,,MAW,B10,2993,2022-01-01 11:00:00
2022-01-01 12:00:00,2022-01-01 13:00:00,,MAW,B10,2593,2022-01-01 12:00:00
2022-01-01 13:00:00,2022-01-01 14:00:00,,MAW,B10,2322,2022-01-01 13:00:00
2022-01-01 14:00:00,2022-01-01 15:00:00,,MAW,B10,2012,2022-01-01 14:00:00
2022-01-01 15:00:00,2022-01-01 16:00:00,,MAW,B10,1108,2022-01-01 15:00:00
2022-01-01 16:00:00,2022-01-01 17:00:00,,MAW,B10,515,2022-01-01 16:00:00
2022-01-01 17:00:00,2022-01-01 18:00:00,,MAW,B10,514,2022-01-01 17:00:00
2022-01-01 18:00:00,2022-01-01 19:00:00,,MAW,B10,364,2022-01-01 18:00:00
2022-01-01 19:00:00,2022-01-01 20:00:00,,MAW,B10,362,2022-01-01 19:00:00
2022-01-01 20:00:00,2022-01-01 21:00:00,,MAW,B10,374,2022-01-01 20:00:00
2022-01-01 21:00:00,2022-01-01 22:00:00,,MAW,B10,416,2022-01-01 21:00:00
2022-01-01 22:00:00,2022-01-01 23:00:00,,MAW,B10,1253,2022-01-01 22:00:00
2022-01-01 23:00:00,2022-01-02 00:00:00,,MAW,B10,1368,2022-01-01 23:00:00
2022-01-02 00:00:00,2022-01-02 01:00:00,,MAW,B10,1734,2022-01-02 00:00:00
2022-01-02 01:00:00,2022-01-02 02:00:00,,MAW,B10,1985,2022-01-02 01:00:00
2022-01-02 02:00:00,2022-01-02 03:00:00,,MAW,B10,2087,2022-01-02 02:00:00
2022-01-02 03:00:00,2022-01-02 04:00:00,,MAW,B10,1904,2022-01-02 03:00:00
2022-01-02 04:00:00,2022-01-02 05:00:00,,MAW,B10,1514,2022-01-02 04:00:00
2022-01-02 05:00:00,2022-01-02 06:00:00,,MAW,B10,1290,2022-01-02 05:00:00
2022-01-02 06:00:00,2022-01-02 07:00:00,,MAW,B10,1291,2022-01-02 06:00:00
2022-01-02 07:00:00,2022-01-02 08:00:00,,MAW,B10,1283,2022-01-02 07:00:00
2022-01-02 08:00:00,2022-01-02 09:00:00,,MAW,B10,1339,2022-01-02 08:00:00
2022-01-02 09:00:00,2022-01-02 10:00:00,,MAW,B10,1398,2022-01-02 09:00:00
