StartTime,EndTime,AreaID,UnitName,Load,hourly_time
2021-12-31 23:00:00,2022-01-01 00:00:00,10YIT-GRTN-----B,MAW,21121,2021-12-31 23:00:00
2022-01-01 00:00:00,2022-01-01 01:00:00,10YIT-GRTN-----B,MAW,19756,2022-01-01 00:00:00
2022-01-01 01:00:00,2022-01-01 02:00:00,10YIT-GRTN-----B,MAW,18685,2022-01-01 01:00:00
2022-01-01 02:00:00,2022-01-01 03:00:00,10YIT-GRTN-----B,MAW,18124,2022-01-01 02:00:00
2022-01-01 03:00:00,2022-01-01 04:00:00,10YIT-GRTN-----B,MAW,18400,2022-01-01 03:00:00
2022-01-01 04:00:00,2022-01-01 05:00:00,10YIT-GRTN-----B,MAW,19223,2022-01-01 04:00:00
2022-01-01 05:00:00,2022-01-01 06:00:00,10YIT-GRTN-----B,MAW,19738,2022-01-01 05:00:00
2022-01-01 06:00:00,2022-01-01 07:00:00,10YIT-GRTN-----B,MAW,20289,2022-01-01 06:00:00
2022-01-01 07:00:00,2022-01-01 08:00:00,10YIT-GRTN-----B,MAW,21469,2022-01-01 07:00:00
2022-01-01 08:00:00,2022-01-01 09:00:00,10YIT-GRTN-----B,MAW,22735,2022-01-01 08:00:00
2022-01-01 09:00:00,2022-01-01 10:00:00,10YIT-GRTN-----B,MAW,23636,2022-01-01 09:00:00
2022-01-01 10:00:00,2022-01-01 11:00:00,10YIT-GRTN-----B,MAW,24182,2022-01-01 10:00:00
2022-01-01 11:00:00,2022-01-01 12:00:00,10YIT-GRTN-----B,MAW,23270,2022-01-01 11:00:00
2022-01-01 12:00:00,2022-01-01 13:00:00,10YIT-GRTN-----B,MAW,22755,2022-01-01 12:00:00
2022-01-01 13:00:00,2022-01-01 14:00:00,10YIT-GRTN-----B,MAW,22881,2022-01-01 13:00:00
2022-01-01 14:00:00,2022-01-01 15:00:00,10YIT-GRTN-----B,MAW,23818,2022-01-01 14:00:00
2022-01-01 15:00:00,2022-01-01 16:00:00,10YIT-GRTN-----B,MAW,26742,2022-01-01 15:00:00
2022-01-01 16:00:00,2022-01-01 17:00:00,10YIT-GRTN-----B,MAW,27672,2022-01-01 16:00:00
2022-01-01 17:00:00,2022-01-01 18:00:00,10YIT-GRTN-----B,MAW,28393,2022-01-01 17:00:00
2022-01-01 18:00:00,2022-01-01 19:00:00,10YIT-GRTN-----B,MAW,27996,2022-01-01 18:00:00
2022-01-01 19:00:00,2022-01-01 20:00:00,10YIT-GRTN-----B,MAW,26693,2022-01-01 19:00:00
2022-01-01 20:00:00,2022-01-01 21:00:00,10YIT-GRTN-----B,MAW,24635,2022-01-01 20:00:00
2022-01-01 21:00:00,2022-01-01 22:00:00,10YIT-GRTN-----B,MAW,22404,2022-01-01 21:00:00
2022-01-01 22:00:00,2022-01-01 23:00:00,10YIT-GRTN-----B,MAW,20428,2022-01-01 22:00:00
2022-01-01 23:00:00,2022-01-02 00:00:00,10YIT-GRTN-----B,MAW,18989,2022-01-01 23:00:00
2022-01-02 00:00:00,2022-01-02 01:00:00,10YIT-GRTN-----B,MAW,18083,2022-01-02 00:00:00
2022-01-02 01:00:00,2022-01-02 02:00:00,10YIT-GRTN-----B,MAW,17740,2022-01-02 01:00:00
2022-01-02 02:00:00,2022-01-02 03:00:00,10YIT-GRTN-----B,MAW,17737,2022-01-02 02:00:00
2022-01-02 03:00:00,2022-01-02 04:00:00,10YIT-GRTN-----B,MAW,18409,2022-01-02 03:00:00
2022-01-02 04:00:00,2022-01-02 05:00:00,10YIT-GRTN-----B,MAW,19869,2022-01-02 04:00:00
2022-01-02 05:00:00,2022-01-02 06:00:00,10YIT-GRTN-----B,MAW,21148,2022-01-02 05:00:00
2022-01-02 06:00:00,2022-01-02 07:00:00,10YIT-GRTN-----B,MAW,22332,2022-01-02 06:00:00
2022-01-02 07:00:00,2022-01-02 08:00:00,10YIT-GRTN-----B,MAW,23775,2022-01-02 07:00:00
2022-01-02 08:00:00,2022-01-02 09:00:00,10YIT-GRTN-----B,MAW,24697,2022-01-02 08:00:00
2022-01-02 09:00:00,2022-01-02 10:00:00,10YIT-GRTN-----B,MAW,25360,2022-01-02 09:00:00
2022-01-02 10:00:00,2022-01-02 11:00:00,10YIT-GRTN-----B,MAW,26123,2022-01-02 10:00:00
2022-01-02 11:00:00,2022-01-02 12:00:00,10YIT-GRTN-----B,MAW,25308,2022-01-02 11:00:00
2022-01-02 12:00:00,2022-01-02 13:00:00,10YIT-GRTN-----B,MAW,24751,2022-01-02 12:00:00
2022-01-02 13:00:00,2022-01-02 14:00:00,10YIT-GRTN-----B,MAW,24918,2022-01-02 13:00:00
2022-01-02 14:00:00,2022-01-02 15:00:00,10YIT-GRTN-----B,MAW,26049,2022-01-02 14:00:00
2022-01-02 15:00:00,2022-01-02 16:00:00,10YIT-GRTN-----B,MAW,28970,2022-01-02 15:00:00
2022-01-02 16:00:00,2022-01-02 17:00:00,10YIT-GRTN-----B,MAW,30088,2022-01-02 16:00:00
2022-01-02 17:00:00,2022-01-02 18:00:00,10YIT-GRTN-----B,MAW,30781,2022-01-02 17:00:00
2022-01-02 18:00:00,2022-01-02 19:00:00,10YIT-GRTN-----B,MAW,29662,2022-01-02 18:00:00
2022-01-02 19:00:00,2022-01-02 20:00:00,10YIT-GRTN-----B,MAW,27563,2022-01-02 19:00:00
2022-01-02 20:00:00,2022-01-02 21:00:00,10YIT-GRTN-----B,MAW,25326,2022-01-02 20:00:00
2022-01-02 21:00:00,2022-01-02 22:00:00,10YIT-GRTN-----B,MAW,22897,2022-01-02 21:00:00
2022-01-02 22:00:00,2022-01-02 23:00:00,10YIT-GRTN-----B,MAW,20859,2022-01-02 22:00:00
2022-01-02 23:00:00,2022-01-03 00:00:00,10YIT-GRTN-----B,MAW,19413,2022-01-02 23:00:00
2022-01-03 00:00:00,2022-01-03 01:00:00,10YIT-GRTN-----B,MAW,18841,2022-01-03 00:00:00
2022-01-03 01:00:00,2022-01-03 02:00:00,10YIT-GRTN-----B,MAW,18543,2022-01-03 01:00:00
2022-01-03 02:00:00,2022-01-03 03:00:00,10YIT-GRTN-----B,MAW,19052,2022-01-03 02:00:00
2022-01-03 03:00:00,2022-01-03 04:00:00,10YIT-GRTN-----B,MAW,20705,2022-01-03 03:00:00
2022-01-03 04:00:00,2022-01-03 05:00:00,10YIT-GRTN-----B,MAW,24670,2022-01-03 04:00:00
2022-01-03 05:00:00,2022-01-03 06:00:00,10YIT-GRTN-----B,MAW,28930,2022-01-03 05:00:00
2022-01-03 06:00:00,2022-01-03 07:00:00,10YIT-GRTN-----B,MAW,32665,2022-01-03 06:00:00
2022-01-03 07:00:00,2022-01-03 08:00:00,10YIT-GRTN-----B,MAW,35378,2022-01-03 07:00:00
2022-01-03 08:00:00,2022-01-03 09:00:00,10YIT-GRTN-----B,MAW,35696,2022-01-03 08:00:00
2022-01-03 09:00:00,2022-01-03 10:00:00,10YIT-GRTN-----B,MAW,35706,2022-01-03 09:00:00
2022-01-03 10:00:00,2022-01-03 11:00:00,10YIT-GRTN-----B,MAW,34695,2022-01-03 10:00:00
2022-01-03 11:00:00,2022-01-03 12:00:00,10YIT-GRTN-----B,MAW,34343,2022-01-03 11:00:00
2022-01-03 12:00:00,2022-01-03 13:00:00,10YIT-GRTN-----B,MAW,34803,2022-01-03 12:00:00
2022-01-03 13:00:00,2022-01-03 14:00:00,10YIT-GRTN-----B,MAW,35188,2022-01-03 13:00:00
2022-01-03 14:00:00,2022-01-03 15:00:00,10YIT-GRTN-----B,MAW,36242,2022-01-03 14:00:00
2022-01-03 15:00:00,2022-01-03 16:00:00,10YIT-GRTN-----B,MAW,38273,2022-01-03 15:00:00
2022-01-03 16:00:00,2022-01-03 17:00:00,10YIT-GRTN-----B,MAW,38007,2022-01-03 16:00:00
2022-01-03 17:00:00,2022-01-03 18:00:00,10YIT-GRTN-----B,MAW,37629,2022-01-03 17:00:00
2022-01-03 18:00:00,2022-01-03 19:00:00,10YIT-GRTN-----B,MAW,35243,2022-01-03 18:00:00
2022-01-03 19:00:00,2022-01-03 20:00:00,10YIT-GRTN-----B,MAW,32509,2022-01-03 19:00:00
2022-01-03 20:00:00,2022-01-03 21:00:00,10YIT-GRTN-----B,MAW,29132,2022-01-03 20:00:00
2022-01-03 21:00:00,2022-01-03 22:00:00,10YIT-GRTN-----B,MAW,26221,2022-01-03 21:00:00
2022-01-03 22:00:00,2022-01-03 23:00:00,10YIT-GRTN-----B,MAW,23813,2022-01-03 22:00:00
2022-01-03 23:00:00,2022-01-04 00:00:00,10YIT-GRTN-----B,MAW,22311,2022-01-03 23:00:00
2022-01-04 00:00:00,2022-01-04 01:00:00,10YIT-GRTN-----B,MAW,21366,2022-01-04 00:00:00
2022-01-04 01:00:00,2022-01-04 02:00:00,10YIT-GRTN-----B,MAW,21079,2022-01-04 01:00:00
2022-01-04 02:00:00,2022-01-04 03:00:00,10YIT-GRTN-----B,MAW,21376,2022-01-04 02:00:00
2022-01-04 03:00:00,2022-01-04 04:00:00,10YIT-GRTN-----B,MAW,22797,2022-01-04 03:00:00
2022-01-04 04:00:00,2022-01-04 05:00:00,10YIT-GRTN-----B,MAW,26625,2022-01-04 04:00:00
2022-01-04 05:00:00,2022-01-04 06:00:00,10YIT-GRTN-----B,MAW,30832,2022-01-04 05:00:00
2022-01-04 06:00:00,2022-01-04 07:00:00,10YIT-GRTN-----B,MAW,34806,2022-01-04 06:00:00
2022-01-04 07:00:00,2022-01-04 08:00:00,10YIT-GRTN-----B,MAW,36950,2022-01-04 07:00:00
2022-01-04 08:00:00,2022-01-04 09:00:00,10YIT-GRTN-----B,MAW,37370,2022-01-04 08:00:00
2022-01-04 09:00:00,2022-01-04 10:00:00,10YIT-GRTN-----B,MAW,37404,2022-01-04 09:00:00
2022-01-04 10:00:00,2022-01-04 11:00:00,10YIT-GRTN-----B,MAW,36515,2022-01-04 10:00:00
2022-01-04 11:00:00,2022-01-04 12:00:00,10YIT-GRTN-----B,MAW,35879,2022-01-04 11:00:00
2022-01-04 12:00:00,2022-01-04 13:00:00,10YIT-GRTN-----B,MAW,36285,2022-01-04 12:00:00
2022-01-04 13:00:00,2022-01-04 14:00:00,10YIT-GRTN-----B,MAW,36395,2022-01-04 13:00:00
2022-01-04 14:00:00,2022-01-04 15:00:00,10YIT-GRTN-----B,MAW,37175,2022-01-04 14:00:00
2022-01-04 15:00:00,2022-01-04 16:00:00,10YIT-GRTN-----B,MAW,38809,2022-01-04 15:00:00
