StartTime,EndTime,AreaID,UnitName,Load,hourly_time
2021-12-31 23:00:00,2022-01-01 00:00:00,10YES-REE------0,MAW,20827,2021-12-31 23:00:00
2022-01-01 00:00:00,2022-01-01 01:00:00,10YES-REE------0,MAW,19530,2022-01-01 00:00:00
2022-01-01 01:00:00,2022-01-01 02:00:00,10YES-REE------0,MAW,18383,2022-01-01 01:00:00
2022-01-01 02:00:00,2022-01-01 03:00:00,10YES-REE------0,MAW,17680,2022-01-01 02:00:00
2022-01-01 03:00:00,2022-01-01 04:00:00,10YES-REE------0,MAW,17396,2022-01-01 03:00:00
2022-01-01 04:00:00,2022-01-01 05:00:00,10YES-REE------0,MAW,17544,2022-01-01 04:00:00
2022-01-01 05:00:00,2022-01-01 06:00:00,10YES-REE------0,MAW,17866,2022-01-01 05:00:00
2022-01-01 06:00:00,2022-01-01 07:00:00,10YES-REE------0,MAW,17806,2022-01-01 06:00:00
2022-01-01 07:00:00,2022-01-01 08:00:00,10YES-REE------0,MAW,18533,2022-01-01 07:00:00
2022-01-01 08:00:00,2022-01-01 09:00:00,10YES-REE------0,MAW,20018,2022-01-01 08:00:00
2022-01-01 09:00:00,2022-01-01 10:00:00,10YES-REE------0,MAW,20989,2022-01-01 09:00:00
2022-01-01 10:00:00,2022-01-01 11:00:00,10YES-REE------0,MAW,21514,2022-01-01 10:00:00
2022-01-01 11:00:00,2022-01-01 12:00:00,10YES-REE------0,MAW,22105,2022-01-01 11:00:00
2022-01-01 12:00:00,2022-01-01 13:00:00,10YES-REE------0,MAW,22384,2022-01-01 12:00:00
2022-01-01 13:00:00,2022-01-01 14:00:00,10YES-REE------0,MAW,21106,2022-01-01 13:00:00
2022-01-01 14:00:00,2022-01-01 15:00:00,10YES-REE------0,MAW,20617,2022-01-01 14:00:00
2022-01-01 15:00:00,2022-01-01 16:00:00,10YES-REE------0,MAW,21096,2022-01-01 15:00:00
2022-01-01 16:00:00,2022-01-01 17:00:00,10YES-REE------0,MAW,23211,2022-01-01 16:00:00
2022-01-01 17:00:00,2022-01-01 18:00:00,10YES-REE------0,MAW,24435,2022-01-01 17:00:00
2022-01-01 18:00:00,2022-01-01 19:00:00,10YES-REE------0,MAW,24964,2022-01-01 18:00:00
2022-01-01 19:00:00,2022-01-01 20:00:00,10YES-REE------0,MAW,25189,2022-01-01 19:00:00
2022-01-01 20:00:00,2022-01-01 21:00:00,10YES-REE------0,MAW,24134,2022-01-01 20:00:00
2022-01-01 21:00:00,2022-01-01 22:00:00,10YES-REE------0,MAW,22552,2022-01-01 21:00:00
2022-01-01 22:00:00,2022-01-01 23:00:00,10YES-REE------0,MAW,21048,2022-01-01 22:00:00
2022-01-01 23:00:00,2022-01-02 00:00:00,10YES-REE------0,MAW,19473,2022-01-01 23:00:00
2022-01-02 00:00:00,2022-01-02 01:00:00,10YES-REE------0,MAW,18375,2022-01-02 00:00:00
2022-01-02 01:00:00,2022-01-02 02:00:00,10YES-REE------0,MAW,17841,2022-01-02 01:00:00
2022-01-02 02:00:00,2022-01-02 03:00:00,10YES-REE------0,MAW,17539,2022-01-02 02:00:00
2022-01-02 03:00:00,2022-01-02 04:00:00,10YES-REE------0,MAW,17684,2022-01-02 03:00:00
2022-01-02 04:00:00,2022-01-02 05:00:00,10YES-REE------0,MAW,18353,2022-01-02 04:00:00
2022-01-02 05:00:00,2022-01-02 06:00:00,10YES-REE------0,MAW,19223,2022-01-02 05:00:00
2022-01-02 06:00:00,2022-01-02 07:00:00,10YES-REE------0,MAW,19936,2022-01-02 06:00:00
2022-01-02 07:00:00,2022-01-02 08:00:00,10YES-REE------0,MAW,21531,2022-01-02 07:00:00
2022-01-02 08:00:00,2022-01-02 09:00:00,10YES-REE------0,MAW,23286,2022-01-02 08:00:00
2022-01-02 09:00:00,2022-01-02 10:00:00,10YES-REE------0,MAW,24126,2022-01-02 09:00:00
2022-01-02 10:00:00,2022-01-02 11:00:00,10YES-REE------0,MAW,24202,2022-01-02 10:00:00
2022-01-02 11:00:00,2022-01-02 12:00:00,10YES-REE------0,MAW,24673,2022-01-02 11:00:00
2022-01-02 12:00:00,2022-01-02 13:00:00,10YES-REE------0,MAW,24921,2022-01-02 12:00:00
2022-01-02 13:00:00,2022-01-02 14:00:00,10YES-REE------0,MAW,23869,2022-01-02 13:00:00
2022-01-02 14:00:00,2022-01-02 15:00:00,10YES-REE------0,MAW,23258,2022-01-02 14:00:00
2022-01-02 15:00:00,2022-01-02 16:00:00,10YES-REE------0,MAW,23642,2022-01-02 15:00:00
2022-01-02 16:00:00,2022-01-02 17:00:00,10YES-REE------0,MAW,25965,2022-01-02 16:00:00
2022-01-02 17:00:00,2022-01-02 18:00:00,10YES-REE------0,MAW,27307,2022-01-02 17:00:00
2022-01-02 18:00:00,2022-01-02 19:00:00,10YES-REE------0,MAW,28243,2022-01-02 18:00:00
2022-01-02 19:00:00,2022-01-02 20:00:00,10YES-REE------0,MAW,28062,2022-01-02 19:00:00
2022-01-02 20:00:00,2022-01-02 21:00:00,10YES-REE------0,MAW,26650,2022-01-02 20:00:00
2022-01-02 21:00:00,2022-01-02 22:00:00,10YES-REE------0,MAW,24535,2022-01-02 21:00:00
2022-01-02 22:00:00,2022-01-02 23:00:00,10YES-REE------0,MAW,22800,2022-01-02 22:00:00
2022-01-02 23:00:00,2022-01-03 00:00:00,10YES-REE------0,MAW,21173,2022-01-02 23:00:00
2022-01-03 00:00:00,2022-01-03 01:00:00,10YES-REE------0,MAW,20153,2022-01-03 00:00:00
2022-01-03 01:00:00,2022-01-03 02:00:00,10YES-REE------0,MAW,19679,2022-01-03 01:00:00
2022-01-03 02:00:00,2022-01-03 03:00:00,10YES-REE------0,MAW,19754,2022-01-03 02:00:00
2022-01-03 03:00:00,2022-01-03 04:00:00,10YES-REE------0,MAW,20516,2022-01-03 03:00:00
2022-01-03 04:00:00,2022-01-03 05:00:00,10YES-REE------0,MAW,22969,2022-01-03 04:00:00
2022-01-03 05:00:00,2022-01-03 06:00:00,10YES-REE------0,MAW,26155,2022-01-03 05:00:00
2022-01-03 06:00:00,2022-01-03 07:00:00,10YES-REE------0,MAW,28546,2022-01-03 06:00:00
2022-01-03 07:00:00,2022-01-03 08:00:00,10YES-REE------0,MAW,30212,2022-01-03 07:00:00
2022-01-03 08:00:00,2022-01-03 09:00:00,10YES-REE------0,MAW,31106,2022-01-03 08:00:00
2022-01-03 09:00:00,2022-01-03 10:00:00,10YES-REE------0,MAW,30788,2022-01-03 09:00:00
2022-01-03 10:00:00,2022-01-03 11:00:00,10YES-REE------0,MAW,30499,2022-01-03 10:00:00
