StartTime,EndTime,quantity_B01,quantity_B16,quantity_B18,quantity_B19,total_green_energy,Load
2022-01-01 00:00:00,2022-01-01 01:00:00,511,1,1904,1189,3605,3218
2022-01-01 01:00:00,2022-01-01 02:00:00,519,1,1738,1051,3309,3126
2022-01-01 02:00:00,2022-01-01 03:00:00,558,1,1436,1048,3043,3080
2022-01-01 03:00:00,2022-01-01 04:00:00,468,1,1505,878,2852,3044
2022-01-01 04:00:00,2022-01-01 05:00:00,505,1,1391,827,2724,3130
2022-01-01 05:00:00,2022-01-01 06:00:00,554,1,1407,617,2579,3238
2022-01-01 06:00:00,2022-01-01 07:00:00,720,1,1098,474,2293,3378
2022-01-01 07:00:00,2022-01-01 08:00:00,714,12,734,346,1806,3537
2022-01-01 08:00:00,2022-01-01 09:00:00,675,45,703,232,1655,3714
2022-01-01 09:00:00,2022-01-01 10:00:00,668,67,610,256,1601,3818
2022-01-01 10:00:00,2022-01-01 11:00:00,732,62,653,385,1832,3893
2022-01-01 11:00:00,2022-01-01 12:00:00,649,40,714,501,1904,3943
2022-01-01 12:00:00,2022-01-01 13:00:00,756,20,763,577,2116,3915
2022-01-01 13:00:00,2022-01-01 14:00:00,803,3,893,799,2498,3988
2022-01-01 14:00:00,2022-01-01 15:00:00,851,1,1034,1314,3200,4213
2022-01-01 15:00:00,2022-01-01 16:00:00,875,1,1102,1793,3771,4473
2022-01-01 16:00:00,2022-01-01 17:00:00,850,1,1415,2073,4339,4407
2022-01-01 17:00:00,2022-01-01 18:00:00,838,1,1748,2205,4792,4133
2022-01-01 18:00:00,2022-01-01 19:00:00,693,1,1962,2396,5052,3970
2022-01-01 19:00:00,2022-01-01 20:00:00,545,1,2075,2476,5097,3821
2022-01-01 20:00:00,2022-01-01 21:00:00,472,1,2048,2371,4892,3619
2022-01-01 21:00:00,2022-01-01 22:00:00,415,1,2056,2275,4747,3462
2022-01-01 22:00:00,2022-01-01 23:00:00,365,1,1950,1762,4078,3351
2022-01-01 23:00:00,2022-01-02 00:00:00,361,1,1838,1760,3960,3173
2022-01-02 00:00:00,2022-01-02 01:00:00,353,1,1861,1744,3959,3128
2022-01-02 01:00:00,2022-01-02 02:00:00,384,1,1853,1494,3732,3093
2022-01-02 02:00:00,2022-01-02 03:00:00,421,1,1826,1569,3817,3063
2022-01-02 03:00:00,2022-01-02 04:00:00,344,1,1831,1638,3814,3149
2022-01-02 04:00:00,2022-01-02 05:00:00,395,1,1680,1624,3700,3260
2022-01-02 05:00:00,2022-01-02 06:00:00,423,1,1660,1579,3663,3455
2022-01-02 06:00:00,2022-01-02 07:00:00,548,1,1579,1511,3639,3722
2022-01-02 07:00:00,2022-01-02 08:00:00,575,3,1534,1385,3497,3905
2022-01-02 08:00:00,2022-01-02 09:00:00,651,16,1386,1288,3341,4097
2022-01-02 09:00:00,2022-01-02 10:00:00,710,24,1197,1046,2977,4167
2022-01-02 10:00:00,2022-01-02 11:00:00,716,30,1052,837,2635,4198
2022-01-02 11:00:00,2022-01-02 12:00:00,678,26,736,740,2180,4212
2022-01-02 12:00:00,2022-01-02 13:00:00,754,14,709,736,2213,4191
2022-01-02 13:00:00,2022-01-02 14:00:00,743,2,976,773,2494,4301
2022-01-02 14:00:00,2022-01-02 15:00:00,854,1,1289,929,3073,4521
2022-01-02 15:00:00,2022-01-02 16:00:00,861,1,1436,1280,3578,4873
2022-01-02 16:00:00,2022-01-02 17:00:00,823,1,1747,1618,4189,4735
2022-01-02 17:00:00,2022-01-02 18:00:00,810,1,1908,2078,4797,4433
2022-01-02 18:00:00,2022-01-02 19:00:00,570,1,1997,2317,4885,4183
2022-01-02 19:00:00,2022-01-02 20:00:00,495,1,1970,2262,4728,3974
2022-01-02 20:00:00,2022-01-02 21:00:00,528,1,1839,2014,4382,3769
2022-01-02 21:00:00,2022-01-02 22:00:00,467,1,1747,1733,3948,3559
2022-01-02 22:00:00,2022-01-02 23:00:00,464,1,1585,1565,3615,3394
2022-01-02 23:00:00,2022-01-03 00:00:00,432,1,1395,1596,3424,3345
2022-01-03 00:00:00,2022-01-03 01:00:00,409,1,1284,1579,3273,3308
2022-01-03 01:00:00,2022-01-03 02:00:00,381,1,1132,1783,3297,3285
2022-01-03 02:00:00,2022-01-03 03:00:00,360,1,1396,1943,3700,3361
2022-01-03 03:00:00,2022-01-03 04:00:00,486,1,1725,2100,4312,3584
2022-01-03 04:00:00,2022-01-03 05:00:00,539,1,1852,2414,4806,4201
2022-01-03 05:00:00,2022-01-03 06:00:00,722,1,1846,2464,5033,4772
2022-01-03 06:00:00,2022-01-03 07:00:00,790,1,1970,2401,5162,5079
2022-01-03 07:00:00,2022-01-03 08:00:00,809,12,2032,2900,5753,5072
2022-01-03 08:00:00,2022-01-03 09:00:00,843,38,2071,3072,6024,5190
2022-01-03 09:00:00,2022-01-03 10:00:00,841,65,2086,3280,6272,5246
2022-01-03 10:00:00,2022-01-03 11:00:00,852,83,2091,3356,6382,5134
2022-01-03 11:00:00,2022-01-03 12:00:00,800,84,2088,3418,6390,5078
2022-01-03 12:00:00,2022-01-03 13:00:00,757,59,2060,3433,6309,5043
2022-01-03 13:00:00,2022-01-03 14:00:00,813,14,2081,3470,6378,5021
2022-01-03 14:00:00,2022-01-03 15:00:00,827,1,2035,3498,6361,5200
2022-01-03 15:00:00,2022-01-03 16:00:00,840,1,2070,3571,6482,5535
2022-01-03 16:00:00,2022-01-03 17:00:00,706,1,2000,3444,6151,5326
2022-01-03 17:00:00,2022-01-03 18:00:00,725,1,2013,2844,5583,4973
2022-01-03 18:00:00,2022-01-03 19:00:00,701,1,1955,2384,5041,4586
2022-01-03 19:00:00,2022-01-03 20:00:00,816,1,1650,1984,4451,4316
2022-01-03 20:00:00,2022-01-03 21:00:00,841,1,1527,1711,4080,4040
2022-01-03 21:00:00,2022-01-03 22:00:00,688,1,1481,1522,3692,3758
2022-01-03 22:00:00,2022-01-03 23:00:00,558,1,1401,1278,3238,3577
2022-01-03 23:00:00,2022-01-04 00:00:00,597,1,1293,1042,2933,3488
2022-01-04 00:00:00,2022-01-04 01:00:00,660,1,1191,884,2736,3429
2022-01-04 01:00:00,2022-01-04 02:00:00,745,1,1176,866,2788,3454
2022-01-04 02:00:00,2022-01-04 03:00:00,825,1,1073,845,2744,3528
2022-01-04 03:00:00,2022-01-04 04:00:00,887,1,772,815,2475,3716
2022-01-04 04:00:00,2022-01-04 05:00:00,939,1,705,876,2521,4255
2022-01-04 05:00:00,2022-01-04 06:00:00,928,1,858,982,2769,4878
2022-01-04 06:00:00,2022-01-04 07:00:00,906,1,819,1000,2726,5205
2022-01-04 07:00:00,2022-01-04 08:00:00,887,19,918,1025,2849,5238
2022-01-04 08:00:00,2022-01-04 09:00:00,886,101,1021,1009,3017,5314
2022-01-04 09:00:00,2022-01-04 10:00:00,866,169,1227,1047,3309,5333
2022-01-04 10:00:00,2022-01-04 11:00:00,865,247,1436,1099,3647,5260
2022-01-04 11:00:00,2022-01-04 12:00:00,843,245,1205,1232,3525,5227
2022-01-04 12:00:00,2022-01-04 13:00:00,858,146,1308,1422,3734,5188
2022-01-04 13:00:00,2022-01-04 14:00:00,841,44,1437,1538,3860,5091
2022-01-04 14:00:00,2022-01-04 15:00:00,863,4,1251,1773,3891,5299
2022-01-04 15:00:00,2022-01-04 16:00:00,901,3,1324,1889,4117,5641
2022-01-04 16:00:00,2022-01-04 17:00:00,930,3,1608,1895,4436,5430
2022-01-04 17:00:00,2022-01-04 18:00:00,919,3,1963,2138,5023,5147
2022-01-04 18:00:00,2022-01-04 19:00:00,918,3,1957,2477,5355,4855
2022-01-04 19:00:00,2022-01-04 20:00:00,877,3,1998,2677,5555,4594
2022-01-04 20:00:00,2022-01-04 21:00:00,861,3,2049,2630,5543,4322
2022-01-04 21:00:00,2022-01-04 22:00:00,830,3,2096,2510,5439,4036
2022-01-04 22:00:00,2022-01-04 23:00:00,803,3,2026,2670,5502,3905
