StartTime,EndTime,quantity_B01,quantity_B09,quantity_B10,quantity_B11,quantity_B12,quantity_B16,quantity_B18,quantity_B19,total_green_energy,Load
2022-01-01 00:00:00,2022-01-01 01:00:00,683,640,131,1951,200,0,,2140,5745.0,19756
2022-01-01 01:00:00,2022-01-01 02:00:00,670,639,700,1831,155,0,,2233,6228.0,18685
2022-01-01 02:00:00,2022-01-01 03:00:00,656,648,735,1842,158,0,,2368,6407.0,18124
2022-01-01 03:00:00,2022-01-01 04:00:00,649,648,334,1818,160,0,,2151,5760.0,18400
2022-01-01 04:00:00,2022-01-01 05:00:00,644,649,299,1930,159,0,,1820,5501.0,19223
2022-01-01 05:00:00,2022-01-01 06:00:00,642,648,702,2192,206,43,,1793,6226.0,19738
2022-01-01 06:00:00,2022-01-01 07:00:00,644,648,682,2484,239,900,,1759,7356.0,20289
2022-01-01 07:00:00,2022-01-01 08:00:00,649,647,632,2204,201,2457,,1847,8637.0,21469
2022-01-01 08:00:00,2022-01-01 09:00:00,647,647,133,2056,184,3817,,1648,9132.0,22735
2022-01-01 09:00:00,2022-01-01 10:00:00,649,649,132,2083,196,4427,,1685,9821.0,23636
2022-01-01 10:00:00,2022-01-01 11:00:00,661,650,107,2069,246,4720,,1951,10404.0,24182
2022-01-01 11:00:00,2022-01-01 12:00:00,656,635,63,2000,201,4516,,2296,10367.0,23270
2022-01-01 12:00:00,2022-01-01 13:00:00,646,635,430,1877,184,3544,,2561,9877.0,22755
2022-01-01 13:00:00,2022-01-01 14:00:00,648,634,47,2147,221,1603,,2476,7776.0,22881
2022-01-01 14:00:00,2022-01-01 15:00:00,642,634,123,2674,477,154,,2404,7108.0,23818
2022-01-01 15:00:00,2022-01-01 16:00:00,687,645,1325,3212,716,0,,2222,8807.0,26742
2022-01-01 16:00:00,2022-01-01 17:00:00,702,652,1789,3372,502,0,,1983,9000.0,27672
2022-01-01 17:00:00,2022-01-01 18:00:00,707,652,2266,3357,552,0,,1742,9276.0,28393
2022-01-01 18:00:00,2022-01-01 19:00:00,697,653,2003,2929,742,0,,1490,8514.0,27996
2022-01-01 19:00:00,2022-01-01 20:00:00,698,653,1310,2653,745,0,,1359,7418.0,26693
2022-01-01 20:00:00,2022-01-01 21:00:00,654,653,243,2433,582,0,,1391,5956.0,24635
2022-01-01 21:00:00,2022-01-01 22:00:00,632,653,131,2059,279,0,,1357,5111.0,22404
2022-01-01 22:00:00,2022-01-01 23:00:00,661,652,166,2049,145,0,,1371,5044.0,20428
2022-01-01 23:00:00,2022-01-02 00:00:00,660,651,717,1723,152,0,,1416,5319.0,18989
2022-01-02 00:00:00,2022-01-02 01:00:00,649,651,884,1622,120,0,,1365,5291.0,18083
2022-01-02 01:00:00,2022-01-02 02:00:00,643,651,1157,1601,119,0,,1343,5514.0,17740
2022-01-02 02:00:00,2022-01-02 03:00:00,642,651,1317,1638,129,0,,1236,5613.0,17737
2022-01-02 03:00:00,2022-01-02 04:00:00,640,651,926,1648,129,0,,1219,5213.0,18409
2022-01-02 04:00:00,2022-01-02 05:00:00,642,651,742,1803,154,0,,1071,5063.0,19869
2022-01-02 05:00:00,2022-01-02 06:00:00,633,651,300,2033,219,46,,961,4843.0,21148
2022-01-02 06:00:00,2022-01-02 07:00:00,643,652,160,2317,331,759,,874,5736.0,22332
2022-01-02 07:00:00,2022-01-02 08:00:00,662,652,237,2325,267,2022,,798,6963.0,23775
2022-01-02 08:00:00,2022-01-02 09:00:00,657,651,154,2499,352,3251,,826,8390.0,24697
2022-01-02 09:00:00,2022-01-02 10:00:00,668,651,68,2504,390,4117,,1011,9409.0,25360
2022-01-02 10:00:00,2022-01-02 11:00:00,656,651,84,2492,364,4476,,1376,10099.0,26123
2022-01-02 11:00:00,2022-01-02 12:00:00,650,651,97,2366,368,4047,,1840,10019.0,25308
2022-01-02 12:00:00,2022-01-02 13:00:00,640,652,165,1971,230,2778,,2186,8622.0,24751
2022-01-02 13:00:00,2022-01-02 14:00:00,640,653,68,2039,272,1221,,2420,7313.0,24918
2022-01-02 14:00:00,2022-01-02 15:00:00,650,653,227,2389,305,118,,2616,6958.0,26049
2022-01-02 15:00:00,2022-01-02 16:00:00,664,651,1678,3016,549,4,,2905,9467.0,28970
2022-01-02 16:00:00,2022-01-02 17:00:00,682,651,1637,3207,493,0,,3142,9812.0,30088
