StartTime,EndTime,quantity_B01,quantity_B11,quantity_B16,quantity_B18,quantity_B19,total_green_energy,Load
2022-01-01 00:00:00,2022-01-01 01:00:00,85,0,4,6940,5739,12768,40706
2022-01-01 01:00:00,2022-01-01 02:00:00,85,0,4,5548,5494,11131,39465
2022-01-01 02:00:00,2022-01-01 03:00:00,86,0,4,5550,5684,11324,38923
2022-01-01 03:00:00,2022-01-01 04:00:00,85,0,4,5709,5492,11290,38211
2022-01-01 04:00:00,2022-01-01 05:00:00,85,0,4,5860,5144,11093,38146
2022-01-01 05:00:00,2022-01-01 06:00:00,85,0,4,6295,4644,11028,38956
2022-01-01 06:00:00,2022-01-01 07:00:00,83,0,4,6252,4082,10421,39968
2022-01-01 07:00:00,2022-01-01 08:00:00,84,0,5,5794,4682,10565,40808
2022-01-01 08:00:00,2022-01-01 09:00:00,84,0,33,6484,4754,11355,41742
2022-01-01 09:00:00,2022-01-01 10:00:00,84,0,118,7686,5395,13283,42796
2022-01-01 10:00:00,2022-01-01 11:00:00,83,0,147,8346,5463,14039,42494
2022-01-01 11:00:00,2022-01-01 12:00:00,84,0,146,8743,5875,14848,42294
2022-01-01 12:00:00,2022-01-01 13:00:00,83,0,122,8805,6061,15071,43153
2022-01-01 13:00:00,2022-01-01 14:00:00,83,0,78,8705,6192,15058,44379
2022-01-01 14:00:00,2022-01-01 15:00:00,80,0,48,8532,6336,14996,45865
2022-01-01 15:00:00,2022-01-01 16:00:00,83,0,4,7816,6717,14620,48406
2022-01-01 16:00:00,2022-01-01 17:00:00,84,0,4,8505,7006,15599,52021
2022-01-01 17:00:00,2022-01-01 18:00:00,83,0,4,8859,7265,16211,51429
2022-01-01 18:00:00,2022-01-01 19:00:00,84,0,4,8956,7162,16206,49999
2022-01-01 19:00:00,2022-01-01 20:00:00,84,0,4,8479,6735,15302,47940
2022-01-01 20:00:00,2022-01-01 21:00:00,83,0,4,7758,6258,14103,46052
2022-01-01 21:00:00,2022-01-01 22:00:00,85,0,4,7854,5735,13678,44113
2022-01-01 22:00:00,2022-01-01 23:00:00,84,0,4,8411,5530,14029,42275
2022-01-01 23:00:00,2022-01-02 00:00:00,82,0,4,8234,5890,14210,41053
